PAGE URL;IMAGE URL ;TAG
www.google.pt/search?q=anonimato&num=20&source=lnms&tbm=isch&sa=X&ei=qI-SVK6NL4fTaN2EgaAC&ved=0CAgQ_AUoAQ&biw=1436&bih=738;http://www.google.pt/imgres?imgurl=http://www.revista.espiritolivre.org/wp-content/uploads/2013/05/26-05-2013_anonimato.jpg&imgrefurl=http://www.revista.espiritolivre.org/anonimato-na-internet-trazido-ate-voce-por-sistemas-opensource&h=320&w=303&tbnid=KGrcr852TDR3hM:&zoom=1&docid=BXfq-4b2wVKpKM&ei=IpCSVIGLA5HGsQSu4YH4CQ&tbm=isch;SILHOUETTE | PUNTO DI DOMANDA
www.google.pt/search?q=anonimato&num=20&source=lnms&tbm=isch&sa=X&ei=qI-SVK6NL4fTaN2EgaAC&ved=0CAgQ_AUoAQ&biw=1436&bih=738;http://www.google.pt/imgres?imgurl=http://4.bp.blogspot.com/-iBlANRbYv1A/UfbqdC_pRWI/AAAAAAAAICw/xN97Qj_kLcI/s1600/anonymous.jpg&imgrefurl=http://www.peixinhoprateado.com/2013/07/no-more-mister-nice-guy-chega-de.html&h=442&w=393&tbnid=rpaP5n47t4TpzM:&zoom=1&docid=sFci8JR0nhiZyM&ei=IpCSVIGLA5HGsQSu4YH4CQ&tbm=isch;PERSONA | VOLTO COPERTO | V PER VENDETTA
www.google.pt/search?q=anonimato&num=20&source=lnms&tbm=isch&sa=X&ei=qI-SVK6NL4fTaN2EgaAC&ved=0CAgQ_AUoAQ&biw=1436&bih=738;http://www.google.pt/imgres?imgurl=http://1.bp.blogspot.com/-RTBFzouB3h0/T38-bXTQ1fI/AAAAAAAACSc/Inh7AhjI1aA/s1600/Anonimato-Internet.jpg&imgrefurl=http://www.blogdomarciorangel.com/2012/04/quando-o-depressivel-anonimato-perde.html&h=400&w=500&tbnid=o4eHkXoZlU3KQM:&zoom=1&docid=-CfX738w05OCaM&ei=IpCSVIGLA5HGsQSu4YH4CQ&tbm=isch;PERSONA | VOLTO COPERTO | V PER VENDETTA
www.google.pt/search?q=anonimato&num=20&source=lnms&tbm=isch&sa=X&ei=qI-SVK6NL4fTaN2EgaAC&ved=0CAgQ_AUoAQ&biw=1436&bih=738;http://www.google.pt/imgres?imgurl=http://cibermundos.net/wp-content/uploads/2014/04/noticia170214082459.jpg&imgrefurl=http://cibermundos.net/ciberespaco/rede-anonimato-e-sinonimo-de-crime/&h=315&w=500&tbnid=wD3v94kaPo2ZXM:&zoom=1&docid=JhfqwnAtayPW2M&ei=IpCSVIGLA5HGsQSu4YH4CQ&tbm=isch;PERSONA | VOLTO COPERTO
www.google.pt/search?q=anonimato&num=20&source=lnms&tbm=isch&sa=X&ei=qI-SVK6NL4fTaN2EgaAC&ved=0CAgQ_AUoAQ&biw=1436&bih=738;http://www.google.pt/imgres?imgurl=http://c6.quickcachr.fotos.sapo.pt/i/Bb904cd3d/12873188_NojBo.jpeg&imgrefurl=http://recuperardasdependencias.blogs.sapo.pt/59116.html&h=192&w=263&tbnid=8d31tRYFjXieFM:&zoom=1&docid=tNicX7MSMFuqzM&ei=IpCSVIGLA5HGsQSu4YH4CQ&tbm=isch;PERSONA | VOLTO COPERTO
www.google.pt/search?q=anonimato&num=20&source=lnms&tbm=isch&sa=X&ei=qI-SVK6NL4fTaN2EgaAC&ved=0CAgQ_AUoAQ&biw=1436&bih=738;http://www.google.pt/imgres?imgurl=https://linhaslivres.files.wordpress.com/2013/09/anonymous.jpg&imgrefurl=https://linhaslivres.wordpress.com/2013/09/03/anonimatonao/&h=339&w=419&tbnid=4RoGnKnVte36vM:&zoom=1&docid=VDMWE2kiAWUrZM&ei=IpCSVIGLA5HGsQSu4YH4CQ&tbm=isch;V PER VENDETTA
www.google.pt/search?q=anonimato&num=20&source=lnms&tbm=isch&sa=X&ei=qI-SVK6NL4fTaN2EgaAC&ved=0CAgQ_AUoAQ&biw=1436&bih=738;http://www.google.pt/imgres?imgurl=http://www.blogcidadania.com.br/wp-content/uploads/2011/01/anonimato.jpg&imgrefurl=http://www.blogdacidadania.com.br/2011/01/o-anonimato-na-internet/&h=441&w=641&tbnid=sA7qpzjz5dSGjM:&zoom=1&docid=EGjAJTFd7QINEM&ei=IpCSVIGLA5HGsQSu4YH4CQ&tbm=isch;PERSONA | VOLTO COPERTO | COMPUTER | SACCHETTO | PUNTO DI DOMANDA
www.google.pt/search?q=anonimato&num=20&source=lnms&tbm=isch&sa=X&ei=qI-SVK6NL4fTaN2EgaAC&ved=0CAgQ_AUoAQ&biw=1436&bih=738;http://www.google.pt/imgres?imgurl=http://4.bp.blogspot.com/-mgrsc7zVN00/Uj9QvFD6hqI/AAAAAAAAEtQ/ztu1BRbtE88/s1600/wallpaper-anonymous%252B(23).jpg&imgrefurl=http://ixousart.blogspot.com/2013/09/como-mantener-el-anonimato-en-el.html&h=683&w=1024&tbnid=msGGYr-Sir8ojM:&zoom=1&docid=U-Z097-7fbHkGM&ei=IpCSVIGLA5HGsQSu4YH4CQ&tbm=isch;PERSONA | VOLTO COPERTO | V PER VENDETTA
www.google.pt/search?q=anonimato&num=20&source=lnms&tbm=isch&sa=X&ei=qI-SVK6NL4fTaN2EgaAC&ved=0CAgQ_AUoAQ&biw=1436&bih=738;http://www.google.pt/imgres?imgurl=http://img.desmotivaciones.es/201108/Internetlab_anonimo_1.jpg&imgrefurl=http://desmotivaciones.es/2396451/El-anonimato&h=531&w=650&tbnid=2tCoxp-tSlem7M:&zoom=1&docid=xbtZ3eepE7JpfM&ei=IpCSVIGLA5HGsQSu4YH4CQ&tbm=isch;PERSONA | VOLTO COPERTO | V PER VENDETTA | TESTO
www.google.pt/search?q=anonimato&num=20&source=lnms&tbm=isch&sa=X&ei=qI-SVK6NL4fTaN2EgaAC&ved=0CAgQ_AUoAQ&biw=1436&bih=738;http://www.google.pt/imgres?imgurl=http://pulsosocial.com/wp-content/uploads/2012/06/anonimato.jpg&imgrefurl=http://pulsosocial.com/2012/10/22/como-producir-mas-contenido-para-tu-blog-en-el-menor-tiempo-posible/&h=565&w=849&tbnid=Rd5wOSTAIFMwdM:&zoom=1&docid=Ly2AcA8riBcpYM&ei=IpCSVIGLA5HGsQSu4YH4CQ&tbm=isch;PERSONA | VOLTO COPERTO | MASCHERA TEATRO
