QUERY;URL;DOMAIN;RANK;SPEAKER;SPEAKER QUALITY
"1. ""right to anonymity"" online";"http://www.netsafe.org.nz/keeping_safe.php?pageID=178&amp;sectionID=Library&amp;menuID=178";netsafe.org.nz;813,517Ê;association;Technology
"1. ""right to anonymity"" online";http://www.choice.com.au/media-and-news/consumer-news/news/right-to-anonymity-under-new-laws.aspx;choice.com.au;33,73;association;Conusmer
"1. ""right to anonymity"" online";http://digitalfreedoms.idebate.org/node/60810;idebate.org;105,30;association;Education
"1. ""right to anonymity"" online";https://www.apc.org/en/irhr/i-freedom-nz/privacy;apc.org;102,32;association;Digital rights
"1. ""right to anonymity"" online";https://www.eff.org/deeplinks/2012/01/right-anonymity-matter-privacy;eff.org;15,39;association;Human rights
"1. ""right to anonymity"" online";http://blog.xot.nl/2014/10/20/why-you-need-anonymity-to-have-privacy-on-the-internet/;xot.nl;5,386,783;blog;Technology
"1. ""right to anonymity"" online";http://gawker.com/5292783/you-dont-have-a-right-to-anonymity;gawker.com;525,00;blog;News
"1. ""right to anonymity"" online";http://securityaffairs.co/wordpress/6452/intelligence/the-right-to-anonymity-on-internet-and-legal-implications.html;securityaffairs.co;113,50;blog;Digital rights
"1. ""right to anonymity"" online";https://scc-csc.lexum.com/scc-csc/scc-csc/en/item/14233/index.do;lexum.com;16,60;governmental organization;Judgment
"1. ""right to anonymity"" online";http://ukconstitutionallaw.org/2012/11/06/paul-bernal-internet-anonymity-a-very-british-dilemma/;ukconstitutionallaw.org;932,76;governmental organization;Law
"1. ""right to anonymity"" online";http://digitalrights.leeds.ac.uk/papers/right-to-an-online-identity/;leeds.ac.uk;18,66;educational institution;Human rights
"1. ""right to anonymity"" online";http://groups.csail.mit.edu/mac/classes/6.805/student-papers/fall95-papers/rigby-anonymity.html;mit.edu;907,00;educational institution;Law
"1. ""right to anonymity"" online";http://www.psw.ugent.be/Cms_global/uploads/publicaties/dv/05recente_publicaties/Anonymity.Voorhoof.editedjuly2010.pdf;ugent.be;23,25;educational institution;Law
"1. ""right to anonymity"" online";http://framing.indiana.edu/2014/03/03/global-online-anonymity/;indiana.edu;9,179Ê;educational institution;Law
"1. ""right to anonymity"" online";http://www.definetheline.ca/index.php/law-policy/503-should-online-anonymity-be-outlawed;definetheline.ca;6,233,681Ê;educational institution;Law
"1. ""right to anonymity"" online";http://eandt.theiet.org/magazine/2013/09/debate.cfm;theiet.org;37,96;magazine;Technology
"1. ""right to anonymity"" online";http://www.engadget.com/2014/06/13/canadian-supreme-court-anonymity-is-a-right/;engadget.com;305,00;magazine;Technology
"1. ""right to anonymity"" online";http://www.mediaweek.co.uk/article/1223127/digital-trends-consumers-want-preserve-right-anonymity-online-keep-control;mediaweek.co.uk;113,81;magazine;News
"1. ""right to anonymity"" online";http://online.wsj.com/articles/SB10001424127887323468604578245841828280344;wsj.com;277,00;newspaper;News
"1. ""right to anonymity"" online";http://www.carillonregina.com/the-right-to-anonymity/;carillonregina.com;8,489,627;newspaper;News
"1. ""right to anonymity"" online";http://www.cbc.ca/news/technology/internet-users-privacy-upheld-by-canada-s-top-court-1.2673823;cbc.ca;948,00;newspaper;News
"1. ""right to anonymity"" online";http://www.huffingtonpost.com/katie-dove/oversharing-are-we-relinq_b_6003794.html;huffingtonpost.com;77,00;newspaper;News
"1. ""right to anonymity"" online";http://www.telegraph.co.uk/technology/internet-security/10629362/Safer-Internet-Day-Britons-divided-over-right-to-online-anonymity.html;telegraph.co.uk;265,00;newspaper;News
"1. ""right to anonymity"" online";http://www.theglobeandmail.com/news/national/supreme-court-privacy/article19155295/;theglobeandmail.com;1,862Ê;newspaper;News
"2. anonymity ""freedom of expression""";http://zine.openrightsgroup.org/features/2013/privacy-anonymity-free-speech;openrightsgroup.org;738,132Ê;association;Digital rights
"2. anonymity ""freedom of expression""";https://www.accessnow.org/blog/2014/06/13/access-intervenes-at-ecthr-for-the-right-to-be-anonymous-online;accessnow.org;592,99;association;Human rights
"2. anonymity ""freedom of expression""";http://blog.osirra.com/2012/03/10/freedom-of-expression-and-anonymity/;osirra.com;11,230,232;blog;News
"2. anonymity ""freedom of expression""";http://marciosaito.com/2012/02/13/crowdsourcing-freedom-and-anonymity/;marciosaito.com;3,092,539;blog;Digital media
"2. anonymity ""freedom of expression""";http://socialinformaticsblog.com/category/internet-anonymity/;socialinformaticsblog.com;24,157,650;blog;Digital media
"2. anonymity ""freedom of expression""";http://thenextweb.com/insider/2012/10/27/the-problems-with-anonymous-trolls-and-accountability-in-the-digital-age/;thenextweb.com;1,37;blog;Technology
"2. anonymity ""freedom of expression""";https://unhosted.org/decentralize/25/Anonymity.html;unhosted.org;1,872,449Ê;blog;Technology
"2. anonymity ""freedom of expression""";https://www.techdirt.com/articles/20120407/02024918420/overreacting-to-anonymous-is-greater-threat-to-freedom-innovation-creativity-than-any-their-attacks.shtml;techdirt.com;15,32;blog;Technology
"2. anonymity ""freedom of expression""";http://www.digitaleyemedia.com/blog/why-online-review-sites-should-not-allow-anonymous-reviews;digitaleyemedia.com;498,21;blog;Digital rights
"2. anonymity ""freedom of expression""";http://www.ohchr.org/Documents/HRBodies/HRCouncil/RegularSession/Session23/A.HRC.23.40_EN.pdf;ohchr.org;30,945Ê;governmental organization;Human rights
"2. anonymity ""freedom of expression""";http://www.publications.parliament.uk/pa/ld201415/ldselect/ldcomuni/37/3704.htm;publications.parliament.uk;101,87;governmental organization;Law
"2. anonymity ""freedom of expression""";http://www.manskligarattigheter.se/en/human-rights/what-rights-are-there/freedom-of-expression;manskligarattigheter.se;1,147,094;governmental organization;Human rights
"2. anonymity ""freedom of expression""";http://eprints.rclis.org/8768/1/Weicher_Name.pdf;rclis.org;137,24;educational institution;Information
"2. anonymity ""freedom of expression""";http://www.bileta.ac.uk/content/files/conference%20papers/2003/Privacy,%20Freedom%20of%20Expression%20and%20CyberSLAPPs%20-%20Fostering%20Anonymity%20on%20the%20Internet.pdf;bileta.ac.uk;11,818,223;educational institution;Law
"2. anonymity ""freedom of expression""";http://www.ifla.org/files/assets/faife/publications/ife03.pdf;ifla.org;179,67;educational institution;Human rights
"2. anonymity ""freedom of expression""";https://www.supremecourt.uk/docs/speech-140930.pdf;supremecourt.uk;571,90;governmental organization;Judgment
"2. anonymity ""freedom of expression""";http://framing.indiana.edu/2014/03/03/global-online-anonymity/;indiana.edu;9,18;educational institution;Law
"2. anonymity ""freedom of expression""";http://igmena.org/Anonymity-values-freedom-over-fear;igmena.org;5,166,294Ê;association;Law
"2. anonymity ""freedom of expression""";http://ukscblog.com/lord-neuberger-lecture-whats-in-a-name-privacy-and-anonymous-speech-on-the-internet/;ukscblog.com;2,372,625;governmental organization;Judgment
"2. anonymity ""freedom of expression""";http://www.cnn.com/2013/08/22/tech/web/huffington-post-anonymous-comments/;cnn.com;68,00;magazine;News
"2. anonymity ""freedom of expression""";http://www.thetakeaway.org/story/314102-huffington-post-bars-anonymous-comments/;thetakeaway.org;211,83;newspaper;News
"2. anonymity ""freedom of expression""";http://www.theguardian.com/books/2014/nov/19/hacker-hoaxer-whistleblower-spy-many-faces-anonymous-gabriella-coleman-review;theguardian.com;159,00;newspaper;News
"2. anonymity ""freedom of expression""";http://panampost.com/belen-marty/2014/08/21/brazil-judge-rules-anonymous-apps-unconstitutional/;panampost.com;141,77;newspaper;News
"3. ""anonymous posting"" expression";http://en.wikipedia.org/wiki/2channel;wikipedia.org;6Ê;association;Information
"3. ""anonymous posting"" expression";http://onlineartrights.org/;onlineartrights.org;11,088,827;association;Rights in arts
"3. ""anonymous posting"" expression";http://tanasinn.info/wiki/A_Guide_to_Anonymous_Boards;tanasinn.info;2,527,792;association;Information
"3. ""anonymous posting"" expression";http://www.thefire.org/controversy-over-yik-yak-app-shows-the-need-for-more-free-speech-not-less/;thefire.org;188,90;association;Rights in education
"3. ""anonymous posting"" expression";http://www.ucimc.org/content/colorado-imc-resists-fbi-attempts-compromise-anonymous-posting;ucimc.org;2,205,137;association;Human rights
"3. ""anonymous posting"" expression";https://www.newschallenge.org/challenge/2014/submissions/online-public-comment-should-replicate-traditional-and-historical-standards-practices-and-processes-not-reinvent-them;newschallenge.org;219,59;association;Digital media
