Date;Kb_added;Kb_removed;Page_changes
01/01/05;1,98;0,10;1,88
01/02/05;0,05;0,00;1,93
01/05/05;0,03;0,01;1,95
01/06/05;0,02;0,00;1,97
01/08/05;0,00;1,74;0,24
01/09/05;2,12;0,01;2,35
01/10/05;0,27;0,00;2,62
01/11/05;0,00;0,00;2,62
01/12/05;2,86;0,28;5,19
01/01/06;0,18;0,05;5,31
01/02/06;16,54;15,39;6,47
01/03/06;27,20;26,34;7,33
01/04/06;119,35;111,98;14,71
01/05/06;754,60;746,37;22,94
01/06/06;799,55;775,12;47,37
01/07/06;199,10;195,19;51,28
01/08/06;137,75;125,82;63,21
01/09/06;47,11;35,73;74,59
01/10/06;15,39;14,20;75,78
01/11/06;154,14;151,55;78,37
01/12/06;656,18;692,58;41,98
01/01/07;213,42;249,11;6,29
01/02/07;79,84;46,41;39,72
01/03/07;269,68;249,63;59,78
01/04/07;6,14;4,28;61,64
01/05/07;67,93;69,21;60,36
01/06/07;4,07;4,77;59,66
01/07/07;8,37;7,65;60,37
01/08/07;9,18;8,28;61,28
01/09/07;2,03;0,99;62,32
01/10/07;7,77;5,68;64,41
01/11/07;5,88;4,35;65,94
01/12/07;1,73;1,98;65,69
01/01/08;5,30;4,61;66,37
01/02/08;6,24;5,24;67,37
01/03/08;11,00;8,51;69,86
01/04/08;72,45;72,33;69,98
01/05/08;3,96;3,63;70,31
01/06/08;1,73;1,11;70,94
01/07/08;6,70;6,58;71,06
01/08/08;5,00;3,24;72,81
01/09/08;0,08;0,34;72,55
01/10/08;2,36;1,85;73,05
01/11/08;96,95;96,92;73,08
01/12/08;31,86;57,11;47,83
01/01/09;14,49;9,21;53,12
01/02/09;0,58;0,07;53,63
01/03/09;1,72;0,53;54,80
01/04/09;1,83;1,44;55,20
01/05/09;4,34;3,77;55,77
01/06/09;7,26;2,48;60,54
01/07/09;5,18;4,18;61,54
01/08/09;16,47;13,21;64,80
01/09/09;18,94;14,51;69,23
01/10/09;8,42;6,62;71,03
01/11/09;1,96;2,92;70,07
01/12/09;7,53;5,93;71,67
01/01/10;0,32;1,14;70,84
01/02/10;15,77;11,07;75,54
01/03/10;1,46;2,20;74,80
01/04/10;6,34;5,95;75,18
01/05/10;4,76;3,16;76,79
01/06/10;0,00;0,04;76,75
01/07/10;0,02;0,00;76,77
01/08/10;31,94;28,27;80,43
01/09/10;80,98;81,25;80,16
01/10/10;1,61;1,21;80,55
01/11/10;0,30;0,47;80,37
01/12/10;75,72;75,70;80,39
01/01/11;2,23;0,67;81,95
01/02/11;8,85;8,50;82,30
01/03/11;12,31;14,48;80,13
01/04/11;4,36;1,09;83,40
01/05/11;9,39;5,88;86,90
01/06/11;19,04;19,33;86,61
01/07/11;4,88;0,08;91,41
01/08/11;0,55;0,80;91,16
01/09/11;1,92;1,02;92,06
01/10/11;0,63;0,01;92,68
01/11/11;1,15;1,08;92,75
01/12/11;0,40;0,16;93,00
01/01/12;0,00;0,11;92,88
01/02/12;0,77;0,76;92,90
01/03/12;0,76;0,00;93,66
01/04/12;2,37;2,25;93,78
01/05/12;1,42;0,16;95,04
01/06/12;0,00;0,01;95,03
01/07/12;0,14;0,00;95,17
01/08/12;0,30;0,32;95,15
01/09/12;7,64;14,04;88,75
01/10/12;0,00;0,01;88,74
01/11/12;0,00;0,17;88,57
01/12/12;0,84;1,45;87,96
01/01/13;1,94;2,31;87,59
01/02/13;0,36;0,00;87,96
01/03/13;1,67;0,76;88,86
01/04/13;0,07;0,45;88,47
01/06/13;0,52;0,00;89,00
01/07/13;0,03;0,03;88,99
01/08/13;0,23;0,27;88,95
01/09/13;0,37;0,19;89,13
01/10/13;0,25;0,00;89,38
01/11/13;0,06;0,03;89,42
01/12/13;0,00;0,00;89,42
01/01/14;2,60;2,12;89,90
01/02/14;8,24;7,51;90,63
01/03/14;1,64;2,09;90,18
01/04/14;83,06;81,24;92,00
01/05/14;12,43;11,36;93,08
01/06/14;25,93;22,63;96,37
01/07/14;0,00;1,79;96,37
01/08/14;11,79;11,38;95,00
01/09/14;17,88;14,38;98,49
01/10/14;3,08;0,00;101,58
01/11/14;71,40;63,43;109,55
01/12/14;47,34;92,36;64,53
