video_number;video_ID;video_subject;video_genre;video_views;comment_rank;comment_keyword;comment_attitude;speech_keyword;speech_attitude
1VID;2;john oliver;Talk Show;7336000;10;Net neutrality;technical;cable;technical
1VID;2;john oliver;Talk Show;7336000;9;the non-existent net neutrality problem;sentimental;companies;technical
1VID;2;john oliver;Talk Show;7336000;8;important Net Neutrality;technical;neutrality;technical
1VID;2;john oliver;Talk Show;7336000;7;Internet Citizens;sentimental;internet;technical
1VID;2;john oliver;Talk Show;7336000;6;the internet I;technical;comcast;technical
1VID;2;john oliver;Talk Show;7336000;5;Open internet access;sentimental;right;sentimental
1VID;2;john oliver;Talk Show;7336000;4;internet AIDS;sentimental;netflix;technical
1VID;2;john oliver;Talk Show;7336000;3;Our Internet Rights;sentimental;cost;sentimental
1VID;2;john oliver;Talk Show;7336000;2;even 3mbps internet;technical;fcc;technical
1VID;2;john oliver;Talk Show;7336000;1;the Internet today;sentimental;lane;sentimental
2VID;3;web is not the net;docu vlog;2250400;10;some books;sentimental;web;sentimental
2VID;3;web is not the net;docu vlog;2250400;9;The Web;technical;internet;technical
2VID;3;web is not the net;docu vlog;2250400;8;marianas web;technical;our;sentimental
2VID;3;web is not the net;docu vlog;2250400;7;this interesting video;sentimental;wide;sentimental
2VID;3;web is not the net;docu vlog;2250400;6;OfficialAdamMZ_Do a video;sentimental;deep;sentimental
2VID;3;web is not the net;docu vlog;2250400;5;Great video;sentimental;different;sentimental
2VID;3;web is not the net;docu vlog;2250400;4;the deep deep web;sentimental;books;sentimental
2VID;3;web is not the net;docu vlog;2250400;3;the universe;sentimental;hypertext;technical
2VID;3;web is not the net;docu vlog;2250400;2;I too hate reading books;sentimental;information;technical
2VID;3;web is not the net;docu vlog;2250400;1;this computer;technical;tim;technical
3VID;4;neutrality matters;comedy info;1546300;10;the internet AFTER;technical;internet;technical
3VID;4;neutrality matters;comedy info;1546300;9;the Internet fairness;sentimental;protect;sentimental
3VID;4;neutrality matters;comedy info;1546300;8;Save Internet;sentimental;cable;technical
3VID;4;neutrality matters;comedy info;1546300;7;pay to play internet;sentimental;fcc;technical
3VID;4;neutrality matters;comedy info;1546300;6;the speed;technical;government;technical
3VID;4;neutrality matters;comedy info;1546300;5;high speed internet access;technical;package;sentimental
3VID;4;neutrality matters;comedy info;1546300;4;most big internet companies;sentimental;idea;sentimental
3VID;4;neutrality matters;comedy info;1546300;3;internet service;technical;need;sentimental
