@,Mentions,Tweets,Follower
millenialsvote,7,3,0
chrisfedeli,45,0,4
eipifi,6,0,26
mikehaynesmo,6,0,31
ohnetneutrality,5,1,32
kristinaprilkim,12,0,33
jbbecon,21,0,36
shibumi2,10,0,60
hartandusagi,5,2,64
netneutrality,9,0,79
monk_consulting,5,0,96
connorbreen,5,0,156
404sight,19,2,167
dancimpean,8,3,185
chiragb87,5,0,203
willemsteketee,8,2,206
opopeninternet,23,72,214
jesz12,7,3,220
liveshownewstv,36,0,223
blueskygraber,46,9,248
z31r4m,5,24,266
nadiaprupis,35,2,267
estelmp,5,5,285
paulfarristx,5,1,286
packetdesign,9,2,295
yost3d,18,3,300
euroconsumidor,5,4,325
liveshowarchive,31,0,343
angelconte,18,28,379
danmartines,5,0,427
matttstarr,10,2,428
antonellagiulia,12,3,544
killswitchfilm,5,8,563
brandingbrandi,6,6,564
gilliganista,10,4,577
jensjeppesencdt,17,8,627
rgslutsky,9,6,628
mozillaadvocacy,38,0,638
charanzova,5,5,671
jcgoilo,5,1,697
irissomberg,8,3,828
culturadem,15,4,880
digitalrightspk,6,0,922
rebwithacorse,6,1,955
repguthrie,806,0,956
nnimpuno,9,8,990
goettinger,7,0,1029
dfmonitor,24,9,1030
klindqvist,12,9,1051
netnod,5,9,1085
artventuno,10,8,1107
roslynlayton,5,5,1109
watchup,7,9,1146
dotpolitics,9,0,1222
beltra72,16,8,1231
jaskin,10,3,1335
dominiqueriquet,5,2,1404
christianheise,9,0,1434
samarajiva,5,5,1437
amykroin,8,6,1444
thecube,8,2,1453
ralphhallpress,794,0,1459
josh_wrightftc,14,6,1474
antoniosdrossos,5,31,1480
boblitan,18,2,1485
metbu,7,0,1545
stevenrenderos,16,9,1557
netlawswe,6,6,1559
vivianimarco,12,17,1567
cableeurope,8,3,1627
kylemzeller,9,0,1731
simonecosimi,5,1,1761
art34bis,31,8,1869
smillinghk,6,5,1902
fredericdonck,6,1,1902
karlbode,7,1,1996
masstrovato,5,4,2037
ondrej_m,5,6,2040
motowashere,24,8,2046
mainecalling,27,12,2067
usreplong,824,0,2134
dusancaf,9,7,2180
mclyburnfcc,1614,0,2244
joebeone,9,0,2303
legaltalknet,51,10,2338
pierani,7,9,2375
farano,7,2,2394
lisadf,20,26,2445
alwaystheself,6,0,2466
telnexus,40,66,2495
yadadarcyyada,5,4,2495
pzarandy,24,49,2533
chuck_sourires,5,1,2553
joel_mau,9,3,2557
stevenejohnston,6,4,2654
replancenj7,851,0,2666
jlakely,50,0,2726
gme11,25,0,2736
ipolicy,14,3,2750
dyfustic,10,0,2761
antonellogiac,149,0,2768
politjunkiem,5,7,2775
rpm,11,2,2852
uccmediajustice,5,11,2870
iptegrity,13,1,2917
webnewsit,14,0,2920
normanpenny,11,19,2950
blogliberally,9,0,2979
elenaneira,5,5,3053
misschristiluv,12,0,3079
sirajsol,7,6,3090
insidesourcesdc,9,20,3093
dw_scitech,5,0,3113
att,32,0,3116
mrspsp,5,25,3179
bettyjpowell,28,76,3223
jeffjohnroberts,12,0,3411
halsinger,61,21,3412
snarkylibdem,5,0,3490
gbeltra,20,49,3501
zcorum,6,8,3503
pat120,10,1,3625
carolinegreer,10,4,3705
polisoniccom,7,23,3794
bradfriedman,17,0,3950
luminatedslave,14,0,4068
repedwhitfield,828,0,4153
museumcn,12,4,4173
fredbcampbelljr,6,8,4321
wikiterms,38,3,4356
jaccuse1,5,1,4720
kostasrossoglou,7,13,4721
tomwheelerfcc,17411,0,4749
blob_fish,7,2,4757
rpfranceue,8,1,4760
juliannaforlano,9,4,4973
llorenzesq,7,6,4997
brthwi01,55,0,5039
reevynap,11,3,5054
fulviosarzana,36,25,5096
jrosenworcel,1607,0,5107
ajitpaifcc,20,0,5112
gameralphabeta,13,1,5303
anotherpundit,5,13,5586
partitopirata,25,9,5651
lons,7,0,5715
guidoscorza,31,0,5721
mirellaliuzzi,23,7,5767
repjoepitts,822,0,6132
waltbtig,9,3,6313
jeffiel,11,0,6627
fmr_brussels,11,6,6707
rashadrobinson,41,0,6768
i2coalition,6,0,6839
larrydownes,28,8,6934
repmckinley,832,0,6939
repmikepompeo,756,0,6986
willrinehart,5,11,6999
repmgriffith,823,0,7109
nctacable,35,0,7124
pen_int,5,0,7205
arturodicorinto,59,63,7226
cointelegraph,11,0,7238
ppi,18,24,7242
boccadutri,9,8,7310
reptimmurphy,795,0,7355
jmsmadisoninst,12,0,7534
nhmc,7,7,7564
hariri_1987,13,2,7639
superglaze,19,0,7783
martinogalliolo,8,15,7925
euclidiq,5,0,7978
jslefebvre,7,0,7995
repbilljohnson,814,0,8041
ecipe,6,4,8053
mmeida,10,0,8280
repmikerogers,780,0,8495
cciaeurope,5,4,8498
texbarb,5,0,8520
peteolson,816,0,8521
monstermarcia,10,3,8610
opposenetttax,6,16,8713
ceachair,1402,0,8757
mgokhanahi,5,2,8901
senatorfischer,822,0,8939
gennaromigliore,10,2,8943
friendsofbernie,15,0,9016
leeterryne,838,0,9034
petetruth,6,14,9074
greensolarwind,15,3,9093
corygardner,774,0,9229
senangusking,27,1,9241
mattfwood,11,16,9246
blslibrary,5,4,9418
kirst3nf,80,13,9516
e_pagliarini,7,1,9593
christmarsden,15,25,9809
positivelyjoan,5,65,9843
wagingnv,5,2,9848
davidisen,14,8,9902
relevanza,25,15,9925
sandrogozi,18,5,10017
katyonthehill,10,4,10056
cringely,11,0,10131
notaaroncraig,34,18,10140
beuctweet,30,18,10190
stevescalise,793,0,10200
felixtreguer,35,6,10471
peer2event,9,3,10607
parvasaeua,18,0,10700
repgregwalden,772,0,10900
repgusbilirakis,771,0,10900
pbeyssac,23,7,10957
ofa_wa,6,1,11022
bbgvisualdata,6,0,11049
greggharper,849,0,11100
levjoy,9,11,11530
nancyproctor,9,3,11540
timowensby,25,0,11583
billcassidy,791,0,11600
fiberguy,11,7,11786
repfredupton,793,0,11900
repshimkus,816,0,12000
eossipov,17,0,12000
opplives,19,1,12167
repkinzinger,835,0,12200
richbtig,11,9,12699
ansip_eu,168,6,12969
anon_govwatchca,9,0,13045
thelocalgermany,50,1,13048
fabiochiusi,44,0,13400
x_net_,10,0,13599
expost_it,10,3,13656
michaelcburgess,802,0,13700
repphilgingrey,820,0,14100
giovannicocconi,16,15,14138
repjoebarton,829,0,14200
_cypherpunks_,5,0,14238
sendeanheller,829,0,14300
boblatta,830,0,14400
senatorwicker,806,0,14400
repreneeellmers,788,0,14400
quinta,57,10,15105
scrawford,7,3,15239
haroldfeld,33,6,15480
engineorg,8,6,15574
cris4m4l,14,8,15637
afpcolorado,7,0,16141
marshablackburn,782,0,16200
pennypritzker,1594,0,16300
wagatwe,10,5,16870
misteringram,31,0,17300
mediaaction,19,13,17790
jerezim,12,1,17993
ammori,48,17,18097
housecommerce,58,0,18179
dellcam,8,2,18320
jackiegerstein,5,0,18384
netizenrights,7,14,18524
sendancoats,778,0,18700
privacydigest,20,1,18948
startuphealth,14,1,19052
credomobile,15,0,19100
newamerica,6,0,19485
culturejedi,19,24,19571
paniskoff44,1588,0,20500
goettingereu,59,0,20600
nixxin,5,5,20602
jayadelson,9,3,21345
evanasmith,9,3,21510
cathymcmorris,808,0,22000
kwerb,5,0,22320
free_press,6,2,22672
theopenmedia,16,2,24391
flavia_marzano,30,27,24967
janalbrecht,9,9,25327
housecracka,7,7,25446
senronjohnson,767,0,25500
laureldavilacpa,5,1,26608
martingeddes,46,10,27485
ofa_illinois,12,0,28062
occupy_www,52,42,28715
publicknowledge,8,4,29049
theprogressives,25,1,29065
ilfattoblog,9,1,29081
teirdes,11,7,29547
senjohnthune,775,0,30400
occupycorruptdc,7,0,31460
it2014eu,81,2,31511
dcexaminer,13,0,32668
ungarage,12,21,32803
berinszoka,33,22,33056
edri,115,3,33312
royblunt,793,0,33400
pagina_99,34,2,33877
tech_faq,12,0,33899
kellyayotte,794,0,34300
mante,21,0,35400
laquadrature,24,0,35600
commondreams,31,0,35661
ofa_ut,21,2,37820
sarah__reynolds,9,2,38234
emmanuelmacron,21,0,39600
criticl_me,16,0,41100
cendemtech,9,9,41261
c4liberty,11,0,41619
freemusicarchiv,6,1,42435
danrayburn,25,1,42500
accessnow,90,9,42752
ericscherer,9,1,43574
gchampeau,9,5,44242
museweb,10,4,44353
axellelemaire,45,2,46491
mysa,10,0,48200
cnnum,16,1,49272
altroconsumo,13,3,49486
eucouncil,143,0,50374
mariannamadia,16,5,51918
attndotcom,5,0,56343
uambrosoli,17,1,56849
ofa_tx,12,0,57227
comcast,100,0,65600
pfeiffer44,1605,0,65800
lesliemarshall,12,1,65914
aldegroup,14,5,67377
dw_english,6,0,70877
techfreedom,81,9,70968
ofa_nc,6,1,74350
alexisohanian,7,3,75216
vj44,1597,0,76900
senatortimscott,799,0,77300
montecitorio,49,2,79944
squawkcnbc,19,4,80474
openmedia_ca,39,1,80601
heartlandinst,21,27,82686
googlepubpolicy,122,0,87500
mozilla,14,1,88192
twc,10,0,88200
mintpressnews,49,1,94058
timkarr,28,13,96428
liberationtech,39,11,97623
ofa_va,16,1,98431
fcc_cio,5,4,98706
oratv,31,9,99361
lupacz,5,0,106358
netflix,35,0,107000
colorofchange,95,10,114109
katrinanation,43,2,115955
namecheap,19,0,117000
marietjeschaake,135,25,118016
judicialwatch,52,2,120898
finebullion,14,0,121000
popresistance,242,22,125621
freepr,12,0,128000
afpnc,68,3,129269
senwarren,55,0,133000
digitalagendaeu,68,11,133224
glynmoody,53,18,134342
thoughtworks,16,0,145283
pdnetwork,10,2,146020
jvelezhagan,18,22,146639
dailykos,9,0,172000
lucadebiase,50,5,179449
eucouncilpress,13,1,180694
ofa_ca,169,4,182128
pewresearch,14,0,183000
alfranken,69,0,190000
ieeeorg,18,0,210683
vanityfairit,6,2,219526
digiphile,5,1,224229
eff,23,0,242000
moveon,50,6,251000
sensanders,22,0,253000
verizon,95,0,256000
pcworld,20,1,270350
lauraboldrini,52,1,275470
ofa,9,0,301000
fingersflying,35,1,302660
demandprogress,125,8,310332
netzpolitik,24,5,320711
tedcruz,806,0,321000
propublica,28,1,323882
annamasera,162,85,326868
midnight,36,0,335000
sentedcruz,27,0,382200
venturebeat,9,0,391000
boingboing,146,0,397265
fightfortheftr,454,21,401874
whitehouseostp,1397,0,457000
oatmeal,15,0,461000
freepress,585,65,469762
thehill,44,0,504365
senrandpaul,14,0,513000
gigaom,43,1,540757
fcc,444,0,650000
marcorubio,815,0,662000
speakerboehner,73,0,699243
verge,20,0,706000
socialmedia2day,14,2,788826
freedomworks,76,0,843957
change,13,2,915035
gizmodo,16,0,1170000
matteorenzi,27,0,1480000
greensboro_nc,21,75,1501690
sharethis,11,0,1850000
etsy,64,0,2420000
nerdist,35,0,2460000
mcuban,89,0,2560000
firefox,142,0,2644843
wilw,35,4,2741301
guardian,9,0,2990000
nprnews,9,0,3100000
washingtonpost,29,0,3790000
forbes,40,0,4100000
techcrunch,68,0,4330000
youranonnews,168,9,5308779
wsj,145,0,5440000
whitehouse,36,0,5540000
time,138,0,6580000
funnyordie,9,0,8790000
google,165,0,9530000
kimkardashian,17,0,26400000
youtube,45,0,47000000
barackobama,12834,0,51107907
npr,13,0,415000
glennbeck,13,0,923000
theblaze,13,0,393000
coe,13,0,113000
superwuster,13,0,11500
techdirt,12,0,38400
darrellissa,12,0,179000
gnagesh,8,0,4191
wireditalia,8,0,181000
pewinternet,8,0,61600
catoletters,8,0,39500
stevepearlstein,8,0,368
cor_com,8,0,10500
gop,8,0,320000
christophsteck,8,0,321
informationweek,7,0,89100
benpopper,7,0,7974
wikipedia,7,0,291000
doctorow,7,0,348000
wired,7,0,3760000
remixtures,7,0,2073
gamestop,7,0,660000
ariannahuff,7,0,1700000
gonetneutrality,7,0,253
arcep,7,0,180
am_national,7,0,34900
janflodin,6,0,221
ptsse,6,0,1092
arstechnica,6,0,807000
repubblicait,6,0,1370000
networkworld,6,0,66500
foxbusiness,6,0,227000
nytimes,6,0,14300000
iamjohnoliver,6,0,678000
comm_daily,6,0,2155
mtnweurope,6,0,175
alesslongo,6,0,1513
commoncraft,6,0,18900
senatorboxer,6,0,53500
cnbc,6,0,1720000
michaelskolnik,6,0,140000
stephenpkendal,5,0,2856
n_iacono,5,0,468
junckereu,5,0,84600
tmobile,5,0,455000
cbs,5,0,363000
attcares,5,0,97900
imlarryflynt,5,0,25200
lizclaman,5,0,34300
holmanjenkins,5,0,347
twitter,5,0,34000000
karenchestney,5,0,2258
assholeofday,5,0,43700
europarl_en,5,0,63600
bph,5,0,5928
greenpeace_ita,5,0,344000
wormlocks,5,0,43
5stelleeuropa,5,0,5763
mit,5,0,169000
bloombergtv,5,0,289000
dish,5,0,104000
rioshayne,5,0,3557
3_0cesar,5,0,51100
autom8,5,0,2424
binarybits,5,0,17900
mckeay,5,0,12000
vanschewick,5,0,2052
france24,5,0,1180000
samknight1,5,0,4808
kalaax008,5,0,9352
puestoloco,5,0,1015
txstarkeeper,5,0,6711
cletisstump,5,0,7966
panampost_es,5,0,1627
