topurl	frequency
http://t.co/YAYo0J1xF4	332
http://t.co/8c4skdNZTy	182
http://t.co/fBWMRnoQ8B	178
http://t.co/WqvRVlCTni	177
http://t.co/LJV98XiQda	159
http://t.co/vCJk6OGLPp	158
http://t.co/UuP8hw6hak	146
http://t.co/hlslxzFu82	130
http://t.co/Hu2bPUtoME	116
http://t.co/K5DhJjysc8	92
http://t.co/2oVSJgTZ1H	62
http://t.co/BYvSmTUBJH	58
http://t.co/OZ9SQuCkLs	58
http://t.co/qGMHol5OT3	57
http://t.co/yxFRaMksNv	57
http://t.co/FSgtraCnZB	53
http://t.co/5lOKhfQSku	47
http://t.co/ar3KAgWHUl	47
http://t.co/hyEx5in0YT	45
http://t.co/aHrpYsijW6	44
http://t.co/hj1wBSjAbH	44
http://t.co/9agl85cc3c	42
http://t.co/guf7IULvHp	42
http://t.co/9jNwGNrz2X	41
http://t.co/Dh5ntqLLTd	40
http://t.co/KUfCtkr7hm	40
http://t.co/M4NOBVhp0Y	39
http://t.co/V66LkZqD2A	39
http://t.co/nAzky6fN41	38
http://t.co/hNK9WXrMa2	34
http://t.co/5Ko	33
http://t.co/ACt7yxLLA9	32
http://t.co/IuD2DgV4k6	31
http://t.co/w77MoRT4Tl	31
https://t.co/hLFEAiguPy	31
http://t.co/55qDkYlSba	30
http://t.co/gBiYWBQGOH	29
http://t.co/u7re7SHofR	29
http://t.co/bF2OlAJyNm	28
http://t.co/lnxSk3SoH1	28
http://t.co/esGhKawHSY	27
http://t.co/RQQUGLTSBN	27
http://t.co/dqOb1fSTHn	26
https://t.co/HPPa3zAMjy	26
http://t.co/CbtF3WWRf5	25
http://t.co/hHnAK0mM8e	25
http://t.co/MrAjO1BiBT	24
http://t.co/R	24
http://t.co/wHBpxLR0jt	24
http://t.co/zIZcXDdoKH	24
http://t.co/aVAivdXOPO	23
http://t.co/etIF5zsTQv	22
https://t.co/1bluTUE5ez	22
https://t.co/ptXMeW1LcO	22
http://t.co/6vt	21
http://t.co/CCGmTsJOma	21
http://t.co/3MOdKpG10l	20
http://t.co/ByQwXWWjIt	20
http://t.co/itpROnBlXP	20
http://t.co/yhJAMEEK0e	20
http://t.co/FgQA50OSkZ	19
http://t.co/mNtW0ErjnK	19
http://t.co/Vch	19
http://t.co/WCayzNI9HX	19
http://t.co/273l0WaTLP	18
http://t.co/99EsQaFekR	18
http://t.co/DI5jHEFJqR	18
http://t.co/hVzcqoUsht	18
http://t.co/sMtCaPTAzG	18
http://t.co/yCc7F4TbUb	18
http://t.co/zh4P4IxkpP	18
http://t.co/FOm	17
http://t.co/jitRFosb3H	17
http://t.co/pZwif8cQcS	17
http://t.co/Rpw9QC1Wm2	17
http://t.co/wtJOOVi5bb	17
https://t.co/8UH	17
https://t.co/Boo3Cs5Bf1	17
https://t.co/Qmx	17
http://t.co/0uN3x7lDSg	16
http://t.co/8tFd8EEHA4	16
http://t.co/8xgCCoUtKl	16
http://t.co/DmfuHjD0E5	16
http://t.co/eRAuT	16
http://t.co/nakm4sUUjZ	16
http://t.co/YEsHynWZDz	16
https://t.co/oNj0wwrkaq	16
http://t.co/8G2GQ9ruMx	15
http://t.co/GyYobugMy7	15
http://t.co/jSDdKHSWxy	15
http://t.co/MOw4UpQPmc	15
http://t.co/My6UIjEugs	15
http://t.co/U1hw5XQp82	15
http://t.co/v38	15
http://t.co/vtVZFODY5X	15
http://t.co/5FfolNxqKh	14
http://t.co/6muzs7	14
http://t.co/74u5H7mHmn	14
http://t.co/BEQiqD6gJP	14
http://t.co/GWtW	14
http://t.co/LlAwTlhdCI	14
http://t.co/PWxscdVsey	14
http://t.co/RxGirqQLuz	14
https://t.co/lZaoktVSTJ	14
http://t.co/3kMzQEU5YG	13
http://t.co/D3lJ6Lvtki	13
http://t.co/eNiTfkYrVB	13
http://t.co/muBpfn1icJ	13
http://t.co/rcvaCz05eP	13
http://t.co/z9SxMaOyxs	13
http://t.co/ZdAVsYmv1W	13
https://t.c	13
http://t.co/314GezsAyO	12
http://t.co/aQ8iKSf8c1	12
http://t.co/diB87Zu7OQ	12
http://t.co/e7VulBHtrX	12
http://t.co/f90kq9JBWK	12
http://t.co/IFjh9kDpIf	12
http://t.co/o8Yxt7uLrv	12
http://t.co/qOkUCOU2pm	12
http://t.co/teebXKq38H	12
http://t.co/U3VS0tQTe8	12
http://t.co/VBSDfTqRbV	12
http://t.co/wj5SdTKYh8	12
https://t.co/1aOJhWufGE	12
http://t.co/B4nOb9eLBS	11
http://t.co/cEGmVzi9D2	11
http://t.co/cSeyFYQAMp	11
http://t.co/Jk1FfZ7dNA	11
http://t.co/L4aUeY3HSM	11
http://t.co/MTfstqj0Hi	11
http://t.co/N4Lfh	11
http://t.co/pbukDzB6Ij	11
http://t.co/poDFAxGv	11
http://t.co/soUca33leo	11
http://t.co/SpLpLdEARW	11
https://t.co/HZhyDvklWF	11
https://t.co/iUNprvcD3z	11
https://t.co/qHs3AlIDcr	11
http://t.co/5ViMqsXWVG	10
http://t.co/a3PMJEetTl<	10
http://t.co/b4p	10
http://t.co/EcQoO0aJC8	10
http://t.co/f0c	10
http://t.co/FUfnIeDtQy	10
http://t.co/INNvJyaW00	10
http://t.co/KisN	10
http://t.co/KRTbv	10
http://t.co/OojSCEHAxQ	10
http://t.co/PZhzpb53Yw	10
http://t.co/QFVlfFI2iG	10
http://t.co/QoHFPg9IHS	10
http://t.co/tJtZkRzW8S	10
http://t.co/UwcPAJ224h	10
http://t.co/vzrU80UCU0	10
http://t.co/wV7AyJ6RaQ	10
https://t.co/7CIzI711oH	10
https://t.co/e4PbaaUaTk	10
http://t.co/4RLnFzmZJo	9
http://t.co/5RGZNhYJao	9
http://t.co/60iExHwr7J	9
http://t.co/A	9
http://t.co/aDxEtIXWrq	9
http://t.co/amS1iH42Dl	9
http://t.co/c	9
http://t.co/cgS2vIJd9n	9
http://t.co/dD6vDagPrK	9
http://t.co/dUYnvJuo2t	9
http://t.co/fkBp	9
http://t.co/gohzndhiC1	9
http://t.co/L87I1cTrsZ	9
http://t.co/ML414WoxlZ	9
http://t.co/O7L8jO64ni	9
http://t.co/OVombknAGK	9
http://t.co/sAFBkHQVCx.	9
http://t.co/seTxo6vn0X	9
http://t.co/tvZAsre43n	9
http://t.co/u7Nx8xjx1N<<	9
http://t.co/Umb9x0hfOx	9
http://t.co/UoCnNCHCWy	9
http://t.co/WhDIGLVLzR	9
http://t.co/X28MRHbpEk	9
http://t.co/x9cyQu09Af	9
https://t.co/54iVoclljF	9
https://t.co/9H9C7QQNpB	9
https://t.co/XMCS96Dlt7	9
http://t.co/1ln0FzAOGu	8
http://t.co/AGHxj	8
http://t.co/bW8XKLVH7w	8
http://t.co/eaLwxhH0VF	8
http://t.co/edZB4nK3IU	8
http://t.co/Ewq7ObyzJ5	8
http://t.co/fQh38VtHzl	8
http://t.co/gCiFnQa07Z	8
http://t.co/K	8
http://t.co/MeBRL4NS6d	8
http://t.co/pAw6c7ktHA	8
http://t.co/Sbzb9apaC5	8
http://t.co/USkQGc1LDh	8
http://t.co/w2TUVWicjR	8
http://t.co/WSvnwfcYqF	8
http://t.co/X1JXNMMyCI	8
http://t.co/YRx6fckbM4	8
http://t.co/zfyNyGknYj	8
https://t.co/RgywgU5N0J	8
http://t.co/0nS7jWQO1c	7
http://t.co/1jTXru0ELp	7
http://t.co/2MiQYLPHap	7
http://t.co/2YuR6nJmKA	7
http://t.co/4MRAEgKYgm	7
http://t.co/6kgfdE7wvs	7
http://t.co/9CxKjQ2v1c	7
http://t.co/aXXxdW7lnU	7
http://t.co/CdEl63Xynq	7
http://t.co/cOF6I2U7f0	7
http://t.co/cQvJPRTa8c	7
http://t.co/dfoi8j6MRy	7
http://t.co/esGhKaw	7
http://t.co/f520AlKsiY	7
http://t.co/FGrHNAhuGg	7
http://t.co/fjoHU9dp8X	7
http://t.co/Fuz5AQpdPg	7
http://t.co/HvV1xyvgC6	7
http://t.co/IBapifIOoe	7
http://t.co/JWBkD67dG9	7
http://t.co/l0lL2bQBUp	7
http://t.co/LRRc1KeZ1L	7
http://t.co/LRZAbEbobk	7
http://t.co/NNW4Ag7N0w	7
http://t.co/nrFgYZwaqL	7
http://t.co/oAZP0sUvyl	7
http://t.co/OfLQhnQX1C	7
http://t.co/PaWxUQnA3Z	7
http://t.co/pxmj6lJk6C	7
http://t.co/Rv0X8wsefQ	7
http://t.co/tfo9OuYOHv	7
http://t.co/thyOfoYhXp	7
http://t.co/ucohUBS18w	7
http://t.co/vnMptngoiB	7
http://t.co/wMvoLIS41V	7
http://t.co/x6e2unshxi	7
http://t.co/xFDRa2Jq5t	7
http://t.co/Xn16WxqGif	7
http://t.co/ybwUejPV1o	7
https://t.co/9sK6XPuvgQ	7
https://t.co/cnaYTBZz4a	7
https://t.co/EEw7fIFhkO	7
https://t.co/Kn1WulECoQ	7
http://t.co/0m9Mrgigvx	6
http://t.co/4VeOGi2OlO	6
http://t.co/5XTJXdihCx	6
http://t.co/7IaOuwdjmO	6
http://t.co/7O1E6n6wP3	6
http://t.co/8AFo0xJQcL	6
http://t.co/8GkPVLsC4N	6
http://t.co/AnKAq1poe2	6
http://t.co/B8Ysg4HmWX	6
http://t.co/bEoUeNKkfr	6
http://t.co/COQccwTg9A	6
http://t.co/cRwJ8znwX1	6
http://t.co/cXR1UcdLB2	6
http://t.co/Dayip0Krsn	6
http://t.co/eah8CD6Yxc	6
http://t.co/eX	6
http://t.co/fl5GFUHcux	6
http://t.co/i1hSvC7K1s	6
http://t.co/i67RA5ufbN	6
http://t.co/K242gIzOyO	6
http://t.co/Km4UAIfuGF	6
http://t.co/lv9Tc63Tjr	6
http://t.co/mUzZ48bqkY	6
http://t.co/MvoKx9no1z	6
http://t.co/N8HXWl2MhB	6
http://t.co/NMqlSj9koF	6
http://t.co/OJcrvM67kz	6
http://t.co/pe3BZ7dyug	6
http://t.co/pZBW5y1QnK	6
http://t.co/q8lle6Llsl	6
http://t.co/QAylZgdQEq	6
http://t.co/qdQsggqALE	6
http://t.co/RGPY3PGqoW	6
http://t.co/rTpQ9emP3o	6
http://t.co/SKYKBLksNb	6
http://t.co/SNQYwV45gd	6
http://t.co/sogH4eJmI2	6
http://t.co/SqwWjic0Eq	6
http://t.co/tcQjex7zML	6
http://t.co/tPmBdAMmyf	6
http://t.co/tXKRDQneSn	6
http://t.co/uH882DRCrI	6
http://t.co/UNwFgK9jAL	6
http://t.co/V	6
http://t.co/VGqaeySz9f	6
http://t.co/Wa5RIhaw6c	6
http://t.co/wK1fOX4Pmd	6
http://t.co/XH3MHqBRf2	6
http://t.co/Y	6
http://t.co/y1WM1pUqre	6
http://t.co/yXCYFT2TvF	6
http://t.co/ZnHLcvIUnS	6
http://t.co/zOSqvO69Fk	6
https://t.co/rEKnZVslWW	6
https://t.co/WENZ6VMQcr	6
http://t.co/1AU5NA3ng3.	5
http://t.co/1hlt3f5lag	5
http://t.co/2CkJv0QvSJ	5
http://t.co/2WdofZVWXW	5
http://t.co/2x8TiTWZTy	5
http://t.co/4yZx0h9xe0	5
http://t.co/7whjzlsm0j	5
http://t.co/9BPLv5jdcl	5
http://t.co/9xLgPHmwtH	5
http://t.co/AAH7qFlP7y	5
http://t.co/Aoaob0HuXi	5
http://t.co/BjxqB3IbmA	5
http://t.co/bra1c	5
http://t.co/CB7Z9cbAR9	5
http://t.co/cbo0FUcBSP	5
http://t.co/doJDEk0RbJ	5
http://t.co/dYoRHXAk50	5
http://t.co/El	5
http://t.co/FeTQEer2gB	5
http://t.co/GRl5RIKVi6	5
http://t.co/gzGkZxrOHr	5
http://t.co/HGqzFfuUfn	5
http://t.co/hIScTEZShm	5
http://t.co/IDgOerANgq	5
http://t.co/IIqz7R1jh7	5
http://t.co/im8ykNzFqQ	5
http://t.co/IrxjCyn8Lm	5
http://t.co/J9zT6HJT5B	5
http://t.co/Jk7UUmfrjW	5
http://t.co/KPftRfuWrf	5
http://t.co/LghSLs26NL	5
http://t.co/mVEzfOvUBO	5
http://t.co/MYchzxBeBC	5
http://t.co/nak	5
http://t.co/NzwelENPlo	5
http://t.co/O1NO41TrHF	5
http://t.co/OV2mgt2NKY	5
http://t.co/OvZRQszntw	5
http://t.co/pKWHh1wE2K	5
http://t.co/pQGTXvXxVH	5
http://t.co/QUGcTnn9Vt	5
http://t.co/RiIQwcgXiT	5
http://t.co/RSLeO1Y6YI	5
http://t.co/seFPd5ZLRP	5
http://t.co/sQMnSJW9O1	5
http://t.co/SzRz2Bao2z	5
http://t.co/tL	5
http://t.co/TxGHzmC7vn	5
http://t.co/TZuDie9AaP	5
http://t.co/VAhDHcghb4	5
http://t.co/VgxORk48u0	5
http://t.co/VhZUYPSTDh	5
http://t.co/XaTdu2S0g7	5
http://t.co/yW4RD4gY2H	5
http://t.co/zZ9nm7FaZA	5
https://t.co/BaghWbWWDe	5
https://t.co/bpowiUSDzN	5
https://t.co/LI6GJ0L56P	5
https://t.co/mbRg6UNlgI	5
https://t.co/QK48E4pxa3	5
https://t.co/UT7keQMHob	5
https://t.co/xpjos6axu0	5
http://t.co/1eyX0lpzE2	4
http://t.co/1tmzKhesJF	4
http://t.co/2AO	4
http://t.co/2BB6JVjFeP	4
http://t.co/2lX0XOV8Tw	4
http://t.co/2Uau6L5fQP	4
http://t.co/30U2t5kzQS	4
http://t.co/3pSNE8KQzG	4
http://t.co/3vkPwuwiOp	4
http://t.co/3zo7GC5VnM	4
http://t.co/4	4
http://t.co/4dLFQzOogK	4
http://t.co/4EyuAsI7pF	4
http://t.co/4qmp9D2tz7	4
http://t.co/4QyICLHJmR	4
http://t.co/4YXUGoNZm9	4
http://t.co/5ZzmBWDtbN	4
http://t.co/89	4
http://t.co/8MUp8fScqy	4
http://t.co/8uYkW3Mbaq	4
http://t.co/9jXxJ3vP2Z	4
http://t.co/9N9BK8WJr2	4
http://t.co/azALyFSXmT	4
http://t.co/bAimwPsRGH	4
http://t.co/bCLV149gi5<	4
http://t.co/bET1R8y8aO	4
http://t.co/bpS6Ulv31G	4
http://t.co/BYF3CO1VN1	4
http://t.co/c7SvSe2V7b	4
http://t.co/CO38fkMrX6	4
http://t.co/D1EPfpD1Mo	4
http://t.co/DSmUZWtga5	4
http://t.co/e6Q97wX34w	4
http://t.co/EdNO9cdOJt.	4
http://t.co/Eez6GRhvNI	4
http://t.co/eY	4
http://t.co/FAmCLCPru3	4
http://t.co/fDGfj2o65a	4
http://t.co/fdie2SSPbX	4
http://t.co/FUXbFnoCpO	4
http://t.co/g0sFSdd26u	4
http://t.co/GUmv3CLrhI	4
http://t.co/hMBHttjB4v	4
http://t.co/IBOsYgASfA	4
http://t.co/j8Qo5bELGn	4
http://t.co/jIUzJ2zGGB	4
http://t.co/JrHGZ8T6iT	4
http://t.co/jsyFobIv6e	4
http://t.co/jtmM2j	4
http://t.co/jyRnmO1cUm	4
http://t.co/K5mwfdv6Se	4
http://t.co/kuiQOLI3oO	4
http://t.co/m0jOOW1pPo	4
http://t.co/maQ9rg0ITH	4
http://t.co/mBCfvIfQsE	4
http://t.co/Mf5XW5IXu3	4
http://t.co/NsoomJ2Vd7	4
http://t.co/NVWlytQKFS	4
http://t.co/Oao55Fs4gm	4
http://t.co/oWLfdPyt0y	4
http://t.co/oyiNxOU9wr	4
http://t.co/P5AUEG	4
http://t.co/pso7c94owE	4
http://t.co/q1x8W3xhcK	4
http://t.co/qdQs	4
http://t.co/qI00dHSNy4	4
http://t.co/qUpAlDSotR	4
http://t.co/Qx9MVJs1cq	4
http://t.co/SH1pkxTXyW	4
http://t.co/SmEUYEhmZC	4
http://t.co/Ss351OzIvo	4
http://t.co/suRHGSHf1C	4
http://t.co/T	4
http://t.co/t1STlbIh	4
http://t.co/TbLxTCMiA1	4
http://t.co/TBux4DyUjM	4
http://t.co/tORDE2phz2	4
http://t.co/tSq9tvP9g0	4
http://t.co/u0bu5eLQ	4
http://t.co/u6Ogrb2Csu	4
http://t.co/u7	4
