source	target	depth
 Communications Assistance For Law Enforcement Act	Carnivore (FBI)	1
 Communications Assistance For Law Enforcement Act	DCSNET	1
 Communications Assistance For Law Enforcement Act	ECHELON	1
 Communications Assistance For Law Enforcement Act	Hepting v. AT&T	1
 Communications Assistance For Law Enforcement Act	IPFabrics	1
 Communications Assistance For Law Enforcement Act	Lawful interception	1
 Communications Assistance For Law Enforcement Act	Magic Lantern (software)	1
 Communications Assistance For Law Enforcement Act	Secrecy of correspondence	1
 Communications Assistance For Law Enforcement Act	Secure communication	1
 Communications Assistance For Law Enforcement Act	SORM	1
 Communications Assistance For Law Enforcement Act	Surveillance	1
 Communications Assistance For Law Enforcement Act	Telecommunications Intercept and Collection Technology Unit	1
 Communications Assistance For Law Enforcement Act	Telephone tapping	1
 Communications Assistance For Law Enforcement Act	Total Information Awareness	1
 Communications Assistance For Law Enforcement Act	Verint	1
 2013 global surveillance disclosures	Pentagon Papers	1
 2013 global surveillance disclosures	Room 641A	1
 2013 global surveillance disclosures	United States diplomatic cables leak	1
 Data mining	Anomaly detection	1
 Data mining	Association rule learning	1
 Data mining	Statistical classification	1
 Data mining	Cluster analysis	1
 Data mining	Decision tree	1
 Data mining	Factor analysis	1
 Data mining	Genetic algorithms	1
 Data mining	Intention mining	1
 Data mining	Multilinear subspace learning	1
 Data mining	Artificial neural network	1
 Data mining	Regression analysis	1
 Data mining	Sequence mining	1
 Data mining	Structured data analysis (statistics)	1
 Data mining	Support vector machines	1
 Data mining	Text mining	1
 Data mining	Analytics	1
 Data mining	Bioinformatics	1
 Data mining	Business intelligence	1
 Data mining	Data analysis	1
 Data mining	Data warehouse	1
 Data mining	Decision support system	1
 Data mining	Drug discovery	1
 Data mining	Exploratory data analysis	1
 Data mining	Predictive analytics	1
 Data mining	Web mining	1
 Data mining	Customer analytics#Data mining	1
 Data mining	Data mining in agriculture	1
 Data mining	Data mining in meteorology	1
 Data mining	Educational data mining	1
 Data mining	National Security Agency#Transaction data mining	1
 Data mining	Police-enforced ANPR in the UK#Data mining	1
 Data mining	Quantitative structure–activity relationship#Data mining approach	1
 Data mining	Surveillance#Data mining and profiling	1
 Data mining	Mass surveillance#Data mining	1
 Data mining	Stellar Wind (code name)	1
 Data mining	Data integration	1
 Data mining	Data transformation	1
 Data mining	Information extraction	1
 Data mining	Information integration	1
 Data mining	Named-entity recognition	1
 Data mining	Profiling (information science)	1
 Data mining	Web scraping	1
 Data privacy	Privacy	1
 Data privacy	Digital Inheritance	1
 Data privacy	Privacy enhancing technologies	1
 Data privacy	Privacy software	1
 Data privacy	I2P	1
 Data privacy	Privacy Act (Canada)	1
 Data privacy	Authentication	1
 Data privacy	Data security	1
 Data privacy	Data retention	1
 Data privacy	Data Loss Prevention	1
 Data privacy	Differential privacy	1
 Data privacy	Data Privacy Day	1
 Data privacy	Privacy International	1
 Data privacy	International Association of Privacy Professionals	1
 Data privacy	Office of the Privacy Commissioner	1
 Data privacy	Australia	1
 Data privacy	Data Protection Commissioner	1
 Data privacy	Ireland	1
 Data privacy	Office of the Data Protection Supervisor	1
 Data privacy	Isle of Man	1
 Data privacy	CNIL	1
 Data privacy	France	1
 Data privacy	National data protection authority	1
 Data privacy	European Union	1
 Data privacy	European Free Trade Association	1
 Data privacy	Khaled El Emam	1
 Data privacy	Stefan Brands	1
 Data privacy	Adam Back	1
 Data privacy	Lance Cottrell	1
 Data privacy	Cynthia Dwork	1
 Data privacy	Ian Goldberg	1
 Data privacy	Peter Gutmann (computer scientist)	1
 Data retention	Telecommunications data retention	1
 Data retention	Data security	1
 Data retention	Data Retention Directive	1
 Data retention	Data retention hardware	1
 Data retention	Data Protection Act 1998	1
 Data retention	Computer data storage	1
 List of government surveillance projects	2013 Public disclosures of surveillance and espionage activities	1
 List of government surveillance projects	Electronic police state	1
 List of government surveillance projects	NSA warrantless surveillance (2001–07)	1
 List of government surveillance projects	Politico-media complex	1
 Mark Klein	Hepting vs. AT&T	1
 Mark Klein	Electronic Frontier Foundation	1
 Mark Klein	AT&T	1
 Mark Klein	Jewel v. NSA	1
 Mark Klein	Room 641A	1
 Mark Klein	William Binney (U.S. intelligence official)	1
 Mark Klein	Thomas Andrews Drake	1
 Mark Klein	Perry Fellwock	1
 Mark Klein	Edward Snowden	1
 Mark Klein	Thomas Tamm	1
 Mark Klein	Russ Tice	1
 Cyber spying	Cyber-collection	1
