ID;query;link;y/n;titolo;google rank;anno-mese;autore ;h-index since 2009;cited by (since 20009);key words;professione;university;uni rank;latitude;longitude;place; pto di vista;orientamento, clusters;attore 1;attore2;attore3;proposals;main label;keywords
1;"sigint + ""mass surveillance""";http://aei.pitt.edu/45597/;y;Mass Surveillance of Personal Data by EU Member States and its Compatibility with EU Law;1;2013-11;Didier Bigo;27;3560;international relations, security;professor;King's College;59;51.507322;-0.127647;London;civil liberties;against surveillance;EU Charter of Foundamental Rights;democracy;right of privacy;surveillance practicies have to be revisited;european situation;large-scale, theft, warrant
2;"sigint + ""mass surveillance""";http://moritzlaw.osu.edu/students/groups/is/files/2014/08/11-Newell.pdf;y;The Massive Metadata Machine: Liberty, Power, and Secret Mass Surveillance in the U.S. and Europe ;2;2014;Bryce clayton Newell;2;27;Privacy, Surveillance, Policing, Criminal Procedure, Access to Information;researcher;University of Washington;15;38.894955;-77.036646;Washington;law;surveillance is necessary but;rights to information;European Court of Human Rights;case law;more transparency;liberty vs security;access to information, citizens
3;"sigint + ""mass surveillance""";http://www.cs.yale.edu/homes/jf/spw14-12-Feigenbaum.pdf;y;On the Feasibility of a Technological Response to the Surveillance Morass;5;2014;Joan Feigenbaum ;/;/;/;professor;Yale University;11;41.308214;-72.925052;New Haven;technical;surveillance practicies are illegal;cloud services;rights to information;fourth amendment;to review the cloud system;cloud services;surveillance morass, dragnet, open-source, decentralization
4;"sigint + ""mass surveillance""";http://www.immagic.com/eLibrary/ARCHIVES/GENERAL/GMGP_UK/G131003L.pdf;y;The Snowden files: why the British public should be worried about GCHQ;6;2013-10;John Lanchester;/;/;/;journalist;The Guardian;;51.507322;-0.127647;London;socio-cultural;surveillance is necessary but;liberties rights;snowden's disclosures;;digital bill of rights;liberty vs security;secrecy, security, CGHQ
5;"sigint + ""mass surveillance""";https://www.ideals.illinois.edu/handle/2142/47305;y;NSA Surveillance: Exploring the Geographies of Internet Interception;7;2014;Andrew Clement;/;/;/;professor;University of Toronto;24;43.652921;-79.384901;Toronto;technical;surveillance practicies are illegal;surveillance programmes;democracy;snowden's disclosures;to review the cloud system;american surveillance programmes;warrantless wiretapping, internet surveillance, privacy
6;"sigint + ""mass surveillance""";http://www.bhu.ac.in/journal/Issues/JGCVolNo1.pdf#page=18;y;Journal of Global Communications, vol.2;11;2009-07;Lauren B. Movius;/;/;/;researcher;Annenberg School of Communication;12;34.053678;-118.242702;Los Angeles;technical;against surveillance;Patriot Act;liberties rights;;;privacy and surveillance can cohexist;privacy, communication, democracy, dominance
7;"sigint + ""mass surveillance""";http://connections-qj.org/ru/system/files/3001_Gill_NSA_files.pdf;y;"Should the intelligence agencies ""show more leg"" or have they just been stripped naked?";12;2013-11;Peter Gill;/;/;/;researcher;University of Liverpool;101;53.405472;-2.980539;Liverpool;law;pro-surveillance;human rights;democracy;complexity of today's policies;new laws and rules;surveillance is necessary;Intelligence, oversight, profiling, data mining
8;"sigint + ""mass surveillance""";http://wpsa.research.pdx.edu/papers/docs/Its%20a%20Secret%20WPSA%20Curtis.pdf;y;"It’s a Secret: The Transformation of Privacy and
Publicity into Engaged Secrecy";19;2014-04;GL Curtis;/;/;/;researcher;Virginia Polytechnic;201;37.229573;-80.413939;Blacksburg;socio-cultural;neutral;right to privacy;"the era of ""big data""";;paradoxical behaviour: who wants more secrecy for himself, criticizes the gov for secrecy;publicy vs privacy;shrinking privacy real, liberal statem
9;"sigint + ""mass surveillance""";http://link.springer.com/chapter/10.1007/978-1-4614-7205-6_4/fulltext.html;y;4. The Afterlife of Total Information Awareness;21;2013;Newton Lee;/;/;/;researcher;Newton Lee Laboratories;_;34.252225;-118.28841;Tujunga;policy;neutral;US government;ACLU;surveillance programmes;no position;us situation;terrorism, Total Information Awareness (TIA), NSA
10;"sigint + ""mass surveillance""";http://ir.lib.uwo.ca/cgi/viewcontent.cgi?article=1025&context=si;y;Testing the Democratic Credibility of an NSA (No Secrets Allowed) Government;22;2014;Jacqueline L. Ferreira;/;/;/;researcher;University of Western Ontario;201;42.988097;-81.24603;London Ontario;policy;surveillance practicies are illegal;fourth amendment;human rights;j. Benthan's theory;liberty and security can cohexist;us situation;rights violation, lack of transparency, democracy
11;"sigint + ""mass surveillance""";http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2443604;y;Privacy and Security in the Cloud: Some Realism About Technical Solutions to Transnational Surveillance in the Post-Snowden Era;25;2014-09;Ira Rubinstein ;/;/;/;researcher;New York University;27;40.730599;-73.986581;New York;technical;surveillance is necessary but;cloud services;section 702;fourth amendment;laws have to be revisited;cloud services;transnational surveillance, privacy-friendly information
12;"sigint + ""mass surveillance""";http://www.berghel.net/col-edit/out-of-band/july-13/oob_7-13.pdf;y;Through the PRISM Darkly;30;2013-09;Hal Berghel;/;/;/;professor;University of Nevada;;36.166286;-115.149225;Las Vegas;socio-cultural;surveillance practicies are illegal;fourth amendment;FISA;Orwell;government is doing nothing to turn the situation in better;american surveillance programmes;clandestine surveillance, democracy, big government
13;"sigint + ""mass surveillance""";http://peripherization.blog.rosalux.de/files/2014/09/Kees1.9.2014.pdf;y;1984 All Over Again. The Snowden NSA Revelations in Perspective;31;2014-09;Kees van der Pijl;13;909;/;professor;University of Sussex;151;50.82221;-0.137753;Brighton;policy;against surveillance;Orwell;terrorism;whistleblowers;the world needs more whistleblowers;extremist;war on terror, 9/11
14;"sigint + ""mass surveillance""";http://papers.ssrn.com/sol3/Papers.cfm?abstract_id=2418485;y;HUMAN RIGHTS TREATIES AND FOREIGN SURVEILLANCE: PRIVACY IN THE DIGITAL AGE;32;2014-03;Marko Milanovic;/;/;/;professor;University of Nottingham;101;52.954977;-1.151107;Nottingham;civil liberties;neutral;human rights;ICCPR;ECHR;laws have to be revisited;human rights;foreign governments, human rights, privacy activists
15;"sigint + ""mass surveillance""";http://www.rucsdigitaleprojektbibliotek.dk/bitstream/1800/13534/1/UNDER%20THE%20GUISE%20OF%20NATIONAL%20SECURITY.pdf;y;Under the Guise of National Security: Surveillance, Snowden and the Challenges to Democracy;33;2014-01;Carl Windahl Bøllingtoft;/;/;/;student;Roskilde University;854;55.643348;12.081925;Roskilde;civil liberties;surveillance practicies are illegal;whistleblowers;privacy right;democracy;more transparency;whistleblowers;fear culture, terrorism, privacy violation
16;"sigint + ""mass surveillance""";http://brage.bibsys.no/xmlui/bitstream/handle/11250/198707/EBae.pdf?sequence=1&isAllowed=y;y;"Nation-State Cyber Surveillance Options:
The role of suppliers";40;2014;Erik Bae;/;/;/;student;Gjøvik University College ;2518;60.877689;10.479072;Gjøvik;technical;neutral;privacy rights;nation-states;;to protect the privacy;;cyber surveillance, suppliers, data encryption, invasive software
17;"privacy + ""mass surveillance""";http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2359470;y;The Third Amendment, Privacy and Mass Surveillance;1;2013-11;Steven I. Friedland;/;/;/;professor;Elon Law School;5000;36.102913;-79.50669;Elon;policy;surveillance is necessary but;Third Amendment;Fourth Amendment;;revisit third amendment;;
18;"privacy + ""mass surveillance""";http://works.bepress.com/cgi/viewcontent.cgi?params=/context/amichael_froomkin/article/1000/type/native/&path_info=;y;"Regulating Mass Surveillance as Privacy Pollution: Learning from Environmental Impact Statements
";3;;A. Michael Froomkin;17;981;Privacy, Robots, Cryptography, Internet Law, E-Democracy;professor;University of Miami;151;25.774266;-80.193659;Miami;policy;surveillance is necessary but;Environmental Impact Statements;privacy rights;first amendment;improvement of privacy practice is necessary;;
19;"privacy + ""mass surveillance""";http://static.squarespace.com/static/530faf59e4b0e44d7fb15d65/t/53736293e4b0bbcc0ca3443f/1400070803799/A_Murray_Final.pdf;y;Something to Hide;4;2013-05;Chloë Murray;/;/;/;student;The New School for Liberal Arts;135;40.730599;-73.986581;New York;socio-cultural;surveillance practicies are illegal;Convention of Human Rights;First Unitarian Church of Los Angeles v. NSA;government reforms;people should be educated to know what to fear;;
20;"privacy + ""mass surveillance""";http://dl.acm.org/citation.cfm?id=2613089;y; Re-thinking Networked Privacy, Security, Identity and Access Control in our Surveillance States;6;2014;Andrew Clement ;/;/;/;professor;University of Toronto;24;43.652921;-79.384901;Toronto;technical;neutral;distrust in surveillance;people opinions;;to demonstrate that privacy is context dependent;security is better than privacy;
21;"privacy + ""mass surveillance""";http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2462321;y;Race to the Online Mass Surveillance: The End of Privacy and Open Internet?;7;2013-07;Md. Rezaul Karim;/;/;/;professor;University of Birmingham;101;52.481368;-1.898073;Birmingham;law;surveillance practicies are illegal;freedom of expression;democracy;anonymity;new laws and rules;privacy in the cyberspace;cyberspace, unregulated, regulation
22;"privacy + ""mass surveillance""";http://aei.pitt.edu/45597/;y;Mass Surveillance of Personal Data by EU Member States and its Compatibility with EU Law. CEPS Liberty and Security in Europe;9;2013-11;Didier Bigo;;;;professor;King's College;59;51.507322;-0.127647;London;civil liberties;against surveillance;EU Charter of Foundamental Rights;democracy;right of privacy;surveillance practicies have to be revisited;european situation;large-scale, theft, warrant
23;"privacy + ""mass surveillance""";http://filebin.net/gcbrapuf6a/The_Criminal_N.S.A._-_NYTimes.pdf;y;The Criminal N.S.A;10;2013-06;Jennifer Stisa Granick;/;/;/;lawyer;Stanford Law School;2;37.426565;-122.170188;Stanford;law;surveillance practicies are illegal;Patriot Act;section 215;FISA;_;extremist;blind eye, targeted, US v. Jones, criminal
24;"privacy + ""mass surveillance""";http://papers.ssrn.com/sol3/Papers.cfm?abstract_id=2418485;y;Human Rights Treaties and Foreign Surveillance: Privacy in the Digital Age;14;2014-03;Marko Milanovic;/;/;/;professor;University of Nottingham;101;52.954977;-1.151107;Nottingham;civil liberties;neutral;human rights;ICCPR;ECHR;laws have to be revisited;human rights;foreign governments, human rights, privacy activists
25;nothing to hide mass surveillance;https://kuscholarworks.ku.edu/bitstream/handle/1808/6173/NothingtoHide.pdf?sequence=1&isAllowed=y;y;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;15;2009;Kathryn Conrad;/;/;/;professor;University of Kansas;201;38.971938;-95.23595;Lawrence;civil liberties;surveillance is necessary but;surveillance studies;commercial interests;criminal law;laws have to be revisited;UK and Ireland;UK, privacy, visibility, Northern Irland, fear
26;nothing to hide mass surveillance;http://ro.uow.edu.au/cgi/viewcontent.cgi?article=1075&context=lhapapers&sei-redir=1&referer=http%3A%2F%2Fscholar.google.com%2Fscholar%3Fhl%3Den%26q%3Dnothing%2Bto%2Bhide%2Bmass%2Bsurveillance%26btnG%3D%26as_sdt%3D1%252C5%26as_sdtp%3D#search=%22nothing%20hide%20mass%20surveillance%22;y;Opposing surveillance;17;2010;Brian Martin;18;1777;dissent, nonviolent action, scientific controversies, strategies against injustice;professor;University of Wollongong;301;-34.424394;150.89385;Wollongong;socio-cultural;neutral;criminal law;police methods;;methods to evade surveillance;privacy vs security;public outrage, resistance, repression
27;nothing to hide mass surveillance;http://wiki.dxarts.washington.edu/sandbox/groups/general/wiki/5b1a1/attachments/3115b/Moore%20Privacy%2C%20Secuirty%2C%20WikiLeaks%20PAQ.pdf?sessionID=c545bdd9aafbac931cdcb9138e309ae90c7b3578;y;PRIVACY, SECURITY, AND GOVERNMENT SURVEILLANCE: WIKILEAKS AND THE NEW ACCOUNTABILITY;20;2011-04;Adam D. Moore;11;339;Privacy, Intellectual Property, Freedom of Speech, Political Theory, Liberty;professor;University of Washington;15;38.894955;-77.036646;Washington;civil liberties;surveillance is necessary but;"""just trust us""";"""nothing to hide""";"""security trumps"" view";balance between privacy and security;privacy vs security;NSA, terrorism, rules, wikileaks
28;nothing to hide mass surveillance;http://libvm3.library.vanderbilt.edu/bitstream/handle/1803/5900/Distinguished%20Lecture.pdf?sequence=1;y;SURVEILLANCE AND THE CONSTITUTION;21;2009;Christoper Slobogin;/;/;/;professor;Vanderbilt Law School;201;36.162226;-86.774342;Nashville;law;surveillance is necessary but;fourth amendment;fear of terrorism;constitution;surveillance practicies have to be revisited;surveillance is necessary;constitution, moral panic, warrant
29;nothing to hide mass surveillance;http://www.diva-portal.org/smash/get/diva2:578157/FULLTEXT01.pdf;y;The Chilling Effect of Counter-Terrorism Measures: A Comparative Analysis of Electronic Surveillance Laws in Europe and the USA;31;2012;Elisabet Fura;/;/;/;lawyer;European Court of Human Rights;;48.584614;7.750713;Strasbourg;law;surveillance practicies are illegal;human rights;fourth amendment;expectation of privacy;they should consider also eu laws,  not only us;us vs eu;society changes, prevention, threats, panspectric
30;nothing to hide mass surveillance;https://theconversation.com/nine-reasons-you-should-care-about-nsas-prism-surveillance-15075;y;Nine reasons you should care about NSA’s PRISM surveillance;32;2013-06;Sean Rintel;6;155;Computer-mediated communication, Ethnomethodology;lector;University of Queensland;85;-27.497604;153.007971;St Lucia;civil liberties;against surveillance;"""nothing to hide""";political corruption;Bruce Schneir;_;privacy in the cyberspace;personal data control, power, security organisations
31;nothing to hide mass surveillance;http://works.bepress.com/jeffrey_vagle/1/;y;Furtive Encryption: Power, Trust, and the Constitutional Cost of Collective Surveillance;38;2014-02;Jeffrey L. Vagle;/;/;/;lector;Center for Technology, Innovation & Competition;5000;39.952335;-75.163789;Philadelphia;law;surveillance practicies are illegal;fourth amendment;social trust;section 702;balance between privacy and security;privacy vs security;encryption, souspiscionless search, domestic surveillance
32;nothing to hide mass surveillance;http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2285095;y;Privacy Protests: Surveillance Evasion and Fourth Amendment Suspicion;40;2013-08;Elizabeth E. Joh;8;283;Criminal Procedure, Policing, Technology, DNA;professor; U.C. Davis School of Law;55;38.545379;-121.744584;Davis;socio-cultural;neutral;fourth amendment;privacy protests;;recognize the acts of resistance;protest movements;privacy protests, acts of resistance
33;"Warrantless + ""mass surveillance""";http://digitalcommons.law.yale.edu/ylas/2/?no_redirect=true;y;When Machines Are Watching:  How Warrantless Use of GPS Surveillance Technology Terminates The Fourth Amendment Right Against Unreasonable Search;3;2011/06;Priscilla Smith;/;/;/;professor;Yale University;8;41.308214;-72.925052;New Haven, USA;civil liberties;surveillance practicies are illegal;;;;;;
34;"Warrantless + ""mass surveillance""";http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6613122&tag=1;y;IXmaps — Tracking your personal data through the NSA's warrantless wiretapping sites;4;2013-06;Andrew Clement;/;/;/;professor;University of Toronto ;24;43.652921;-79.384901;Toronto;civil liberties;surveillance practicies are illegal;;;;;;
35;"Warrantless + ""mass surveillance""";http://heinonline.org/HOL/LandingPage?handle=hein.journals/aulr60&div=22&id=&page=;y;Untying Knotts: The Application of Mosaic Theory to GPS Surveillance in United States v. Maryland;6;2011;Bethany L. Dickman;/;/;/;professor;American University Law Review;201;35.936191;-97.069192;Washingston;law;surveillance is necessary but;;;;;;
36;"Warrantless + ""mass surveillance""";http://works.bepress.com/cgi/viewcontent.cgi?article=1004&context=daniel_cohn&sei-redir=1&referer=http%3A%2F%2Fscholar.google.com%2Fscholar%3Fas_sdt%3D0%2C5%26q%3Dwarrantless%252B%2522mass%2Bsurveillance%2522%26hl%3Den%26as_vis%3D1#search=%22warrantless%2Bmass%20surveillance%22;y;A Defense of Warrantless Global Positioning System Surveillance in Advance of the Supreme Court's Decision in United States v. Jones;12;2011-11;Daniel J. Cohn;/;/;/;professor;Florida Coastal School of Law;5000;30.332184;-81.655651; Jacksonville;law;neutral;United States v. Knotts;fourth amendment;case law;_;warrantless surveillance;privacy expectations, gps tracking, warrant
37;"Warrantless + ""mass surveillance""";http://works.bepress.com/cgi/viewcontent.cgi?params=/context/james_mariani/article/1000/type/native/&path_info=;y;GPS TRACKING DEVICES AND FACIAL RECOGNITION TECHNOLOGY: A COMPARATIVE ANALYSIS OF JONES’S EFFECT ON LAW ENFORCEMENT’S FUTURE USE OF SURVEILLANCE-ENHANCING TECHNOLOGY;17;2012;James Mariani;/;/;/;professor;University of Illinois College of Law;28;40.111717;-88.207301;Urbana-Champaign;law;neutral;fourth amendment;United States v. Katz;kyllo v. United States;_;warrantless surveillance;new technology, warrantless, gps tracking
38;"Warrantless + ""mass surveillance""";http://link.springer.com/article/10.1007/s12103-012-9185-z#page-1;y;Police GPS Surveillance on Vehicles and the Warrant Requirement: “For a While I’ve Been Watching You Steady”;19;2012-10;Tom “Tad” Hughes;/;/;/;professor;University of South Carolina;201;34.00071;-81.034814;Columbia;;;fourth amendment;US v. Jones;Police;;;
39;"Warrantless + ""mass surveillance""";https://www.ideals.illinois.edu/bitstream/handle/2142/47305/119_ready.pdf?sequence=2;y;NSA Surveillance: Exploring the Geographies of Internet Interception;24;2014-03;Andrew Clement;/;/;/;professor;University of Toronto;24;43.652921;-79.384901;Toronto;technical;surveillance practicies are illegal;surveillance programmes;democracy;snowden's disclosures;to review the cloud system;american surveillance programmes;warrantless wiretapping, internet surveillance, privacy
