ID;query;link;titlepaper;speaker;pointofview;opinion;proposal;main label
1;"sigint + ""mass surveillance""";http://aei.pitt.edu/45597/;Mass Surveillance of Personal Data by EU Member States and its Compatibility with EU Law;Didier Bigo;civil liberties;against surveillance;surveillance practicies have to be revisited;european situation
2;"sigint + ""mass surveillance""";http://moritzlaw.osu.edu/students/groups/is/files/2014/08/11-Newell.pdf;The Massive Metadata Machine: Liberty, Power, and Secret Mass Surveillance in the U.S. and Europe ;Bryce clayton Newell;law;surveillance is necessary but;more transparency;liberty vs security
3;"sigint + ""mass surveillance""";http://www.cs.yale.edu/homes/jf/spw14-12-Feigenbaum.pdf;On the Feasibility of a Technological Response to the Surveillance Morass;Joan Feigenbaum ;technical;surveillance practicies are illegal;to review the cloud system;cloud services
4;"sigint + ""mass surveillance""";http://www.immagic.com/eLibrary/ARCHIVES/GENERAL/GMGP_UK/G131003L.pdf;The Snowden files: why the British public should be worried about GCHQ;John Lanchester;socio-cultural;surveillance is necessary but;digital bill of rights;liberty vs security
5;"sigint + ""mass surveillance""";https://www.ideals.illinois.edu/handle/2142/47305;NSA Surveillance: Exploring the Geographies of Internet Interception;Andrew Clement;technical;surveillance practicies are illegal;to review the cloud system;american surveillance programmes
6;"sigint + ""mass surveillance""";http://www.bhu.ac.in/journal/Issues/JGCVolNo1.pdf#page=18;Journal of Global Communications, vol.2;Lauren B. Movius;technical;against surveillance;;privacy and surveillance can cohexist
7;"sigint + ""mass surveillance""";http://connections-qj.org/ru/system/files/3001_Gill_NSA_files.pdf;"Should the intelligence agencies ""show more leg"" or have they just been stripped naked?";Peter Gill;law;pro-surveillance;new laws and rules;surveillance is necessary
8;"sigint + ""mass surveillance""";http://wpsa.research.pdx.edu/papers/docs/Its%20a%20Secret%20WPSA%20Curtis.pdf;"It’s a Secret: The Transformation of Privacy and
Publicity into Engaged Secrecy";GL Curtis;socio-cultural;neutral;paradoxical behaviour: who wants more secrecy for himself, criticizes the gov for secrecy;publicy vs privacy
9;"sigint + ""mass surveillance""";http://link.springer.com/chapter/10.1007/978-1-4614-7205-6_4/fulltext.html;4. The Afterlife of Total Information Awareness;Newton Lee;policy;neutral;no position;us situation
10;"sigint + ""mass surveillance""";http://ir.lib.uwo.ca/cgi/viewcontent.cgi?article=1025&context=si;Testing the Democratic Credibility of an NSA (No Secrets Allowed) Government;Jacqueline L. Ferreira;policy;surveillance practicies are illegal;liberty and security can cohexist;us situation
11;"sigint + ""mass surveillance""";http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2443604;Privacy and Security in the Cloud: Some Realism About Technical Solutions to Transnational Surveillance in the Post-Snowden Era;Ira Rubinstein ;technical;surveillance is necessary but;laws have to be revisited;cloud services
12;"sigint + ""mass surveillance""";http://www.berghel.net/col-edit/out-of-band/july-13/oob_7-13.pdf;Through the PRISM Darkly;Hal Berghel;socio-cultural;surveillance practicies are illegal;government is doing nothing to turn the situation in better;american surveillance programmes
13;"sigint + ""mass surveillance""";http://peripherization.blog.rosalux.de/files/2014/09/Kees1.9.2014.pdf;1984 All Over Again. The Snowden NSA Revelations in Perspective;Kees van der Pijl;policy;against surveillance;the world needs more whistleblowers;extremist
14;"sigint + ""mass surveillance""";http://papers.ssrn.com/sol3/Papers.cfm?abstract_id=2418485;HUMAN RIGHTS TREATIES AND FOREIGN SURVEILLANCE: PRIVACY IN THE DIGITAL AGE;Marko Milanovic;civil liberties;neutral;laws have to be revisited;human rights
15;"sigint + ""mass surveillance""";http://www.rucsdigitaleprojektbibliotek.dk/bitstream/1800/13534/1/UNDER%20THE%20GUISE%20OF%20NATIONAL%20SECURITY.pdf;Under the Guise of National Security: Surveillance, Snowden and the Challenges to Democracy;Carl Windahl Bøllingtoft;civil liberties;surveillance practicies are illegal;more transparency;whistleblowers
16;"sigint + ""mass surveillance""";http://brage.bibsys.no/xmlui/bitstream/handle/11250/198707/EBae.pdf?sequence=1&isAllowed=y;"Nation-State Cyber Surveillance Options:
The role of suppliers";Erik Bae;technical;neutral;to protect the privacy;
17;"privacy + ""mass surveillance""";http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2359470;The Third Amendment, Privacy and Mass Surveillance;Steven I. Friedland;policy;surveillance is necessary but;revisit third amendment;
18;"privacy + ""mass surveillance""";http://works.bepress.com/cgi/viewcontent.cgi?params=/context/amichael_froomkin/article/1000/type/native/&path_info=;"Regulating Mass Surveillance as Privacy Pollution: Learning from Environmental Impact Statements
";A. Michael Froomkin;policy;surveillance is necessary but;improvement of privacy practice is necessary;
19;"privacy + ""mass surveillance""";http://static.squarespace.com/static/530faf59e4b0e44d7fb15d65/t/53736293e4b0bbcc0ca3443f/1400070803799/A_Murray_Final.pdf;Something to Hide;Chloë Murray;socio-cultural;surveillance practicies are illegal;people should be educated to know what to fear;
20;"privacy + ""mass surveillance""";http://dl.acm.org/citation.cfm?id=2613089; Re-thinking Networked Privacy, Security, Identity and Access Control in our Surveillance States;Andrew Clement ;technical;neutral;to demonstrate that privacy is context dependent;security is better than privacy
21;"privacy + ""mass surveillance""";http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2462321;Race to the Online Mass Surveillance: The End of Privacy and Open Internet?;Md. Rezaul Karim;law;surveillance practicies are illegal;new laws and rules;privacy in the cyberspace
22;"privacy + ""mass surveillance""";http://aei.pitt.edu/45597/;Mass Surveillance of Personal Data by EU Member States and its Compatibility with EU Law. CEPS Liberty and Security in Europe;Didier Bigo;civil liberties;against surveillance;surveillance practicies have to be revisited;european situation
23;"privacy + ""mass surveillance""";http://filebin.net/gcbrapuf6a/The_Criminal_N.S.A._-_NYTimes.pdf;The Criminal N.S.A;Jennifer Stisa Granick;law;surveillance practicies are illegal;_;extremist
24;"privacy + ""mass surveillance""";http://papers.ssrn.com/sol3/Papers.cfm?abstract_id=2418485;Human Rights Treaties and Foreign Surveillance: Privacy in the Digital Age;Marko Milanovic;civil liberties;neutral;laws have to be revisited;human rights
25;nothing to hide mass surveillance;https://kuscholarworks.ku.edu/bitstream/handle/1808/6173/NothingtoHide.pdf?sequence=1&isAllowed=y;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;Kathryn Conrad;civil liberties;surveillance is necessary but;laws have to be revisited;UK and Ireland
26;nothing to hide mass surveillance;http://ro.uow.edu.au/cgi/viewcontent.cgi?article=1075&context=lhapapers&sei-redir=1&referer=http%3A%2F%2Fscholar.google.com%2Fscholar%3Fhl%3Den%26q%3Dnothing%2Bto%2Bhide%2Bmass%2Bsurveillance%26btnG%3D%26as_sdt%3D1%252C5%26as_sdtp%3D#search=%22nothing%20hide%20mass%20surveillance%22;Opposing surveillance;Brian Martin;socio-cultural;neutral;methods to evade surveillance;privacy vs security
27;nothing to hide mass surveillance;http://wiki.dxarts.washington.edu/sandbox/groups/general/wiki/5b1a1/attachments/3115b/Moore%20Privacy%2C%20Secuirty%2C%20WikiLeaks%20PAQ.pdf?sessionID=c545bdd9aafbac931cdcb9138e309ae90c7b3578;PRIVACY, SECURITY, AND GOVERNMENT SURVEILLANCE: WIKILEAKS AND THE NEW ACCOUNTABILITY;Adam D. Moore;civil liberties;surveillance is necessary but;balance between privacy and security;privacy vs security
