id;source title;s date;source;target title;target;date
398;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;Mapping Desire: Geographies of Sexualities;Bell D, Valentine G;1995
399;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;The Queen Goes to Washington City: Essays on Sex and Citizenship;Berlant L;1997
400;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;Queer Frontiers: Millennial Geographies, Genders, and Generations;Boone, J, Dupuis, M Meeker, M, Quimby, K, Sarver, C, Silverman, D and Weatherston, R;2000
401;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;Folk Devils and Moral Panics: The Creation of the Mods and Rockers ;Cohen S;2002
402;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;"‘Signage and Surveillance: Interrogating the Textual Context of CCTV in the
UK";Cole M;2004
403;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;Queering Community: Reimagining the Public Sphere in Northern Ireland;Conrad K;2006
404;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;Letter to Andrew Muir;Cotton D;2006
405;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;BodySpace: Destabilizing Geographies of Gender and Sexuality;Duncan N;1996
406;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;Homographesis: Essays in Gay Literary and Cultural Theory;Edelman L;1994
407;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;Violence and Vision: The Prosthetics and Aesthetics of Terror;Feldman A;1997
408;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;Discipline and Punish: The Birth of the Prison;Foucault M;1979
409;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;, CCTV and Policing: Public Area Surveillance and Police Practices in Britain;Goold B;2004
410;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;"Probing the Surveillant Assemblage: On the Dialectics of Surveillance
Practices as Processes of Social Control";Hier S P;2004
411;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;A Highway Rest Area as a Socially Reproducible Site;Hollister J;1999
412;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;Tearoom Trade: Impersonal Sex in Public Places;Humphreys L;1975
416;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;"Surveillance as Social
Sorting: Privacy, Risk and Digital Discrimination";Lyon D;
413;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;Surveillance as Social Sorting: Privacy, Risk and Digital Discrimination;Lyon D;2003
414;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;Rainbow Project. Letter to Belfast Telegraph;Morrin S;2006
415;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;"Renegotiating the Social/Sexual Identity of Places: Gay Communities as
Safe Havens or Sites of Resistance?";Myclik W D;1996
417;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;Cities, Queer Space, and the Cosmopolitan Tourist;Rushbrook D;2002
418;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;Epistemology of the Closet;Sedgwick E K;1990
419;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;"Flushed out: Ten Men, including a Church Elder and Ex-Police
Reservist, Engaged in Sex Acts in a Public Toilet";Smyth L;2006
420;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;"A Nation by Rights: National Cultures, Sexual Identity Politics, and a
Discourse of Rights";Stychin C;1998
421;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;"Panoptic Power and the Pathologisation of Vision: Critical Reflections on the
Foucauldian Thesis";Yar M;2003
422;‘Nothing to Hide … Nothing to Fear’: Discriminatory Surveillance and Queer Visibility in Great Britain and Northern Ireland;2009;Kathryn Conrad;"I Know Where You Live! — Aspects of Surveillance, Watching and
Social Control in a Conflict Zone (Northern Ireland)";Zurawski N;2004
190;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"The Collapse of the Weimar Republic. Political Economy
and Crisis";Abraham David;1981
191;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;The 1980 Campaign: Agents for Bush;Callahan B;1990
192;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"‘Catastrophic
Terrorism. Tackling the New Danger";Carter A B;1998
193;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"Terrorism: The Soviet
Connection";Cline Ray S, Alexander Yonah;1986
194;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;Silent Coup. The Removal of a President;Colodny L, Gettlin R;1992
221;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"American War Machine. Deep Politics, the CIA Global
Drug Connection, and the Road to Afghanistan";Dale S P;2010
220;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"The Road to 9/11. Wealth, Empire, and the Future of
America";Dale S P;2007
195;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;Virus Alert. Security, Governmentality, and the AIDS Pandemic;Elbe S;2009
196;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"Right Turn. The Decline of the
Democratic Party and the Future of American Politics";Ferguson T, Rogers J;1986
197;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;George Orwell, a personal memoir;Fyvel T R;1982
198;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"The Great Transition. American-Soviet Relations and the
End of the Cold War";Garthoff R;1994
199;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"Intolerance and Political Repression in the United States:
A Half Century after McCarthyism";Gibson J L;2008
201;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"A political bombshell from Zbigniew Brzezinski. Ex-national
security adviser warns that Bush is seeking a pretext to attack Iran";Grey B;2007
203;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;" 9/11 Ten Years Later. When State Crimes Against
Democracy Succeed";Griffin D R, Scott P D;2011
202;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"9/11 and American Empire.
Intellectuals Speak Out";Griffin D R, Scott P D;2007
204;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"The Clash of Civilizations and the Remaking of World
Order";Huntington Sl P;1998
205;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"A decade after the 9/11 attacks, Americans live in an era of
endless war";Jaffe G;2011
200;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"L’éthique des relations internationales. Les théories
anglo-américaines contemporaines";Klaus-Gerd G;1992
206;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl; Rise of the Vulcans. The History of Bush’s War Cabinet;Mann James;2004
207;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;The Decline of Democratic Politics;Morgenthau H J;1962
208;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;Terrorism. How the West Can Win;Netanyahu B;1986
209;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"The Global Political Economy of
Israel";Nitzan J, Bichler S;2002
210;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;Nineteen Eighty-Four;Orwell G;1954
211;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"‘Islamophobia and the War on Terror: The
Continuing Pretext for U.S. Imperial Conquest’";Ralph D;2008
212;1984 All Over Again. The Snowden NSA Revelations in Perspective;2014-09;Kees van der Pijl;"The Ties That Bind.
Intelligence Cooperation between the UKUSA Countries—The United Kingdom,
the United States of America, Canada, Australia and New Zealand";Richelson J T,  Ball D;1990
