statement;academic ;activist ;contributor ;journalist ;leaksource ;nonprofit organization ;organization ;political sphere ;tech expert ;tv personality against;wikipedia 
surveillance brings no advantages;8;5;3;7;0;0;0;13;3;50;50
surveillance is useless to prevent terrorism;0;9;0;2;0;0;0;0;0;0;0
the world need to be aware of the surveillance programs;8;0;3;15;75;10;25;0;17;0;0
privacy is a fundamental human right;24;14;23;22;25;30;25;33;37;0;0
surveillance has negative effects on society;10;9;9;7;0;20;0;13;10;50;0
surveillance is illegal;14;0;11;9;0;10;13;0;0;0;0
surveillance must be immediately stopped;19;59;17;16;0;20;13;13;13;0;0
nothing to hide is not an excuse to surveillance;11;5;23;6;0;0;25;27;10;0;50
disapproval of surveillance technology;5;0;3;2;0;0;0;0;3;0;0
tech giant must protect thir user's privacy;2;0;9;15;0;10;0;0;7;0;0
