website type;topic
blog;impact on society
news site;surveillance technology
news site;surveillance technology
university site;surveillance technology
newspaper;disclosures
organization site;disclosures
organization site;disclosures
blog;disclosures
news site;disclosures
news site;disclosures
newspaper;disclosures
news site;disclosures
community;disclosures
newspaper;human rights
news site;surveillance technology
news site;movement
blog;law aspect
newspaper;law aspect
newspaper;impact on society
newspaper;impact on society
newspaper;movement
community;human rights
newspaper;law aspect
organization site;impact on society
blog;law aspect
blog;law aspect
community;impact on society
news site;law aspect
news site;human rights
blog;law aspect
blog;law aspect
news site;law aspect
newspaper;law aspect
tv/radio channel;clarifying the argument
organization site;human rights
community;disclosures
nonprofit-organization site;movement
wikipedia;clarifying the argument
news site;clarifying the argument
newspaper;human rights
news site;law aspect
news site;law aspect
blog;law aspect
newspaper;movement
news site;clarifying the argument
newspaper;clarifying the argument
news site;disclosures
organization site;movement
organization site;law aspect
organization site;movement
organization site;movement
site with politic aim;movement
news site;movement
news site;movement
news site;clarifying the argument
site with politic aim;clarifying the argument
news site;law aspect
community;movement
news site;clarifying the argument
tv/radio channel;clarifying the argument
news site;law aspect
blog;clarifying the argument
news site;disclosures
news site;law aspect
organization site;clarifying the argument
news site;clarifying the argument
news site;tech giant
nonprofit-organization site;tech giant
news site;movement
blog;tech giant
news site;tech giant
blog;human rights
blog;human rights
news site;law aspect
newspaper;law aspect
community;clarifying the argument
blog;clarifying the argument
blog;human rights
blog;human rights
blog;human rights
community;law aspect
news site;clarifying the argument
newspaper;clarifying the argument
news site;disclosures
community;surveillance technology
research centre/initiative site;disclosures
community;surveillance technology
community;movement
newspaper;disclosures
news site;human rights
blog;human rights
blog;disclosures
newspaper;impact on society
community;clarifying the argument
blog;law aspect
community;movement
organization site;clarifying the argument
research centre/initiative site;law aspect
newspaper;clarifying the argument
blog;law aspect
newspaper;disclosures
blog;law aspect
newspaper;disclosures
blog;surveillance technology
news site;law aspect
blog;disclosures
blog;disclosures
blog;surveillance technology
news site;disclosures
blog;clarifying the argument
newspaper;surveillance technology
news site;counter-terrorism
news site;human rights
newspaper;impact on society
community;human rights
news site;clarifying the argument
blog;clarifying the argument
community;surveillance technology
wikipedia;surveillance technology
blog;human rights
news site;movement
news site;tech giant
blog;movement
wikipedia;disclosures
wikipedia;disclosures
news site;impact on society
community;impact on society
news site;clarifying the argument
news site;counter-terrorism
blog;impact on society
newspaper;counter-terrorism
news site;movement
news site;disclosures
tv/radio channel;law aspect
tv/radio channel;movement
news site;movement
news site;human rights
newspaper ;impact on society
research centre/initiative site;impact on society
news site;counter-terrorism
newspaper;disclosures
newspaper ;human rights
news site;human rights
university site;clarifying the argument
blog;movement
organization site;movement
news site;movement
community;clarifying the argument
newspaper;human rights
community;clarifying the argument
blog;human rights
newspaper;counter-terrorism
blog;impact on society
news site;clarifying the argument
research centre/initiative site;impact on society
organization site;movement
community;impact on society
organization site;movement
community;human rights
wikileaks;disclosures
community;movement
site with politic aim;human rights
university site;human rights
blog;human rights
news site;human rights
newspaper;human rights
wikipedia;clarifying the argument
blog;law aspect
news site;human rights
organization site;human rights
blog;human rights
research centre/initiative site;impact on society
organization site;movement
university site;impact on society
news site;impact on society
community;human rights
news site;impact on society
news site;human rights
tv/radio channel;human rights
news site;human rights
news site;human rights
company site;movement
news site;clarifying the argument
news site;movement
news site;clarifying the argument
organization site;movement
community;impact on society
blog;human rights
organization site;law aspect
nonprofit-organization site;human rights
newspaper;surveillance technology
organization site;movement
petition site;movement
blog;human rights
organization site;impact on society
research centre/initiative site;human rights
university site;human rights
community;movement
organization site;human rights
community;human rights
tv/radio channel;disclosures
community;human rights
news site;disclosures
news site;human rights
company site;disclosures
newspaper;law aspect
community;human rights
community;human rights
newspaper;movement
organization site;human rights
organization site;movement
organization site;movement
news site;law aspect
nonprofit-organization site;impact on society
newspaper;impact on society
research centre/initiative site;human rights
news site;human rights
community;human rights
petition site;movement
nonprofit-organization site;human rights
organization site;movement
university site;movement
organization site;movement
newspaper;law aspect
organization site;movement
nonprofit-organization site;disclosures
petition site;movement
newspaper;disclosures
blog;human rights
organization site;law aspect
petition site;movement
research centre/initiative site;clarifying the argument
community;clarifying the argument
blog;law aspect
organization site;impact on society
newspaper;human rights
blog;law aspect
organization site;clarifying the argument
organization site;human rights
blog;clarifying the argument
university site;law aspect
research centre/initiative site;human rights
organization site;human rights
news site;human rights
news site;human rights
nonprofit-organization site;counter-terrorism
petition site;movement
newspaper;tech giant
wikipedia;law aspect
news site;law aspect
tv/radio channel;tech giant
community;tech giant
news site;tech giant
news site;disclosures
newspaper;surveillance technology
news site;tech giant
community;tech giant
news site;tech giant
news site;surveillance technology
news site;tech giant
newspaper;tech giant
organization site;disclosures
news site;tech giant
news site;tech giant
tv/radio channel;tech giant
news site;tech giant
news site;tech giant
newspaper;tech giant
news site;movement
community;tech giant
tv/radio channel;surveillance technology
news site;tech giant
newspaper;tech giant
blog;tech giant
news site;law aspect
news site;tech giant
newspaper;tech giant
blog;tech giant
news site;movement
community;movement
newspaper;tech giant
organization site;movement
community;disclosures
news site;tech giant
news site;tech giant
newspaper;tech giant
newspaper;movement
community;movement
newspaper;tech giant
newspaper;tech giant
newspaper;tech giant
news site;tech giant
blog;counter-terrorism
newspaper;disclosures
blog;clarifying the argument
news site;movement
Yahoo;tech giant
blog;surveillance technology
nonprofit-organization site;tech giant
site for user support;tech giant
petition site;movement
blog;nothing to hide argument
blog;human rights
google books;clarifying the argument
google books;nothing to hide argument
google books;human rights
google books;clarifying the argument
research centre/initiative site;nothing to hide argument
organization site;impact on society
blog;movement
wikipedia;nothing to hide argument
site with politic aim;nothing to hide argument
blog;nothing to hide argument
blog;impact on society
community;human rights
nonprofit-organization site;nothing to hide argument
community;movement
nonprofit-organization site;movement
blog;impact on society
company site;law aspect
news site;impact on society
blog;nothing to hide argument
blog;nothing to hide argument
newspaper;disclosures
company site;nothing to hide argument
blog;nothing to hide argument
blog;impact on society
newspaper;clarifying the argument
news site;clarifying the argument
blog;movement
blog;nothing to hide argument
newspaper;impact on society
community;nothing to hide argument
community;nothing to hide argument
blog;nothing to hide argument
company site;surveillance technology
organization site;clarifying the argument
news site;clarifying the argument
