title;country;year;sentences;episodes
24: Live Another Day;usa;2014;1;1
Chicago P.D.;usa;2014;1;1
Crisis;usa;2014;1;1
Intelligence;usa;2014;3;3
Legends;usa;2014;6;5
Madam Secretary;usa;2014;1;1
Matador;usa;2014;1;1
Murder in the First;usa;2014;4;3
NCIS: New Orleans;usa;2014;2;1
Rake;usa;2014;1;1
Resurrection;usa;2014;1;1
Scorpion;usa;2014;4;2
Sirens;usa;2014;2;1
State of Affairs;usa;2014;1;1
The Mysteries of Laura;usa;2014;1;1
The Strain;usa;2014;1;1
Z Nation;usa;2014;5;3
Agents of S.H.I.E.L.D.;usa;2013;8;2
Beware the Batman;usa;2013;1;1
Hostages;usa;2013-2014;7;5
King & Maxwell;usa;2013;2;2
The Blacklist;usa;2013;12;6
The Following;usa;2013;3;3
Under the Dome;usa;2013;1;1
Vice;usa;2013;1;1
Arrow;usa;2012;8;7
Beauty and the Beast;usa;2012;5;3
Continuum;canada;2012;2;2
Elementary;usa;2012;17;6
Last Resort;usa;2012-2013;1;1
Longmire;usa;2012;2;1
Men at Work;usa;2012-2014;1;1
Perception;usa;2012;3;3
Scandal;usa;2012;22;9
The Finder;usa;2012;2;2
The Mindy Project;usa;2012;1;1
The Newsroom;usa;2012;14;3
The Untold History of the United States;usa;2012;1;1
Transporter: The Series;canada;2012;5;2
Veep;usa;2012;2;1
Alphas;usa;2011-2012;18;5
Chaos;usa;2011;6;2
Charlie's Angels;usa;2011;1;1
Criminal Minds: Suspect Behavior;usa;2011;1;1
Franklin & Bash;usa;2011;3;3
Hart of Dixie;usa;2011;1;1
Necessary Roughness;usa;2011-2013;3;3
Person of Interest;usa;2011;34;18
Revenge;usa;2011;1;1
Shameless;usa;2011;1;1
The Cape;usa;2011;1;1
Unforgettable;usa;2011;8;5
XIII: The Series;canada, france;2011;16;8
Blue Bloods;usa;2010;4;2
Covert Affairs;usa;2010;22;13
Hawaii Five-0;usa;2010;6;5
Human Target;usa;2010-2011;3;2
Justified;usa;2010;2;2
Nikita;usa;2010-2013;17;4
