genre;year;episodes
action;2014;44
adventure;2014;2
comedy;2014;16
crime;2014;51
drama;2014;73
fantasy;2014;3
horror;2014;6
mystery;2014;31
sci-fi;2014;8
thriller;2014;9
action;2013;32
adventure;2013;5
comedy;2013;8
crime;2013;48
drama;2013;60
fantasy;2013;0
horror;2013;0
mystery;2013;22
sci-fi;2013;3
thriller;2013;8
action;2012;22
adventure;2012;1
comedy;2012;12
crime;2012;23
drama;2012;41
fantasy;2012;0
horror;2012;0
mystery;2012;10
sci-fi;2012;3
thriller;2012;5
action;2011;41
adventure;2011;6
comedy;2011;6
crime;2011;45
drama;2011;47
fantasy;2011;2
horror;2011;1
mystery;2011;38
sci-fi;2011;13
thriller;2011;2
action;2010;33
adventure;2010;1
comedy;2010;21
crime;2010;28
drama;2010;56
fantasy;2010;0
horror;2010;0
mystery;2010;34
sci-fi;2010;6
thriller;2010;2
action;2009;25
adventure;2009;8
comedy;2009;11
crime;2009;22
drama;2009;38
fantasy;2009;1
horror;2009;1
mystery;2009;33
sci-fi;2009;14
thriller;2009;7
action;2008;17
adventure;2008;5
comedy;2008;10
crime;2008;13
drama;2008;20
fantasy;2008;0
horror;2008;0
mystery;2008;17
sci-fi;2008;5
thriller;2008;5
action;2007;35
adventure;2007;1
comedy;2007;11
crime;2007;17
drama;2007;33
fantasy;2007;1
horror;2007;0
mystery;2007;11
sci-fi;2007;5
thriller;2007;9
action;2006;10
adventure;2006;0
comedy;2006;3
crime;2006;13
drama;2006;28
fantasy;2006;2
horror;2006;0
mystery;2006;12
sci-fi;2006;2
thriller;2006;6
action;2005;15
adventure;2005;4
comedy;2005;4
crime;2005;12
drama;2005;28
fantasy;2005;0
horror;2005;0
mystery;2005;18
sci-fi;2005;7
thriller;2005;4
action;2004;4
adventure;2004;1
comedy;2004;1
crime;2004;1
drama;2004;9
fantasy;2004;0
horror;2004;0
mystery;2004;4
sci-fi;2004;2
thriller;2004;0
action;2003;15
adventure;2003;0
comedy;2003;2
crime;2003;2
drama;2003;29
fantasy;2003;0
horror;2003;0
mystery;2003;13
sci-fi;2003;18
thriller;2003;0
action;2002;15
adventure;2002;0
comedy;2002;0
crime;2002;0
drama;2002;22
fantasy;2002;0
horror;2002;0
mystery;2002;16
sci-fi;2002;1
thriller;2002;0
action;2001;1
adventure;2001;1
comedy;2001;0
crime;2001;0
drama;2001;5
fantasy;2001;1
horror;2001;0
mystery;2001;3
sci-fi;2001;2
thriller;2001;1
action;2000;4
adventure;2000;1
comedy;2000;0
crime;2000;2
drama;2000;4
fantasy;2000;0
horror;2000;0
mystery;2000;3
sci-fi;2000;0
thriller;2000;1
action;1999;3
adventure;1999;0
comedy;1999;0
crime;1999;1
drama;1999;4
fantasy;1999;0
horror;1999;0
mystery;1999;2
sci-fi;1999;0
thriller;1999;0
action;1998;4
adventure;1998;2
comedy;1998;0
crime;1998;2
drama;1998;6
fantasy;1998;0
horror;1998;0
mystery;1998;2
sci-fi;1998;4
thriller;1998;0
action;1997;1
adventure;1997;0
comedy;1997;0
crime;1997;1
drama;1997;3
fantasy;1997;0
horror;1997;0
mystery;1997;2
sci-fi;1997;1
thriller;1997;0
action;1996;1
adventure;1996;0
comedy;1996;0
crime;1996;1
drama;1996;2
fantasy;1996;1
horror;1996;1
mystery;1996;0
sci-fi;1996;0
thriller;1996;0
action;1995;0
adventure;1995;0
comedy;1995;0
crime;1995;0
drama;1995;1
fantasy;1995;1
horror;1995;1
mystery;1995;0
sci-fi;1995;0
thriller;1995;0
action;1994;0
adventure;1994;0
comedy;1994;1
crime;1994;1
drama;1994;0
fantasy;1994;0
horror;1994;1
mystery;1994;0
sci-fi;1994;0
thriller;1994;0
action;1993;0
adventure;1993;0
comedy;1993;2
crime;1993;0
drama;1993;4
fantasy;1993;2
horror;1993;0
mystery;1993;2
sci-fi;1993;2
thriller;1993;0
action;1992;0
adventure;1992;0
comedy;1992;0
crime;1992;0
drama;1992;0
fantasy;1992;0
horror;1992;0
mystery;1992;0
sci-fi;1992;0
thriller;1992;0
action;1991;0
adventure;1991;0
comedy;1991;0
crime;1991;0
drama;1991;0
fantasy;1991;0
horror;1991;0
mystery;1991;0
sci-fi;1991;0
thriller;1991;0
action;1990;0
adventure;1990;0
comedy;1990;0
crime;1990;0
drama;1990;1
fantasy;1990;0
horror;1990;0
mystery;1990;0
sci-fi;1990;1
thriller;1990;0
action;1989;0
adventure;1989;0
comedy;1989;0
crime;1989;0
drama;1989;0
fantasy;1989;0
horror;1989;0
mystery;1989;0
sci-fi;1989;0
thriller;1989;0
action;1988;0
adventure;1988;0
comedy;1988;0
crime;1988;0
drama;1988;0
fantasy;1988;0
horror;1988;0
mystery;1988;0
sci-fi;1988;0
thriller;1988;0
action;1987;0
adventure;1987;0
comedy;1987;0
crime;1987;0
drama;1987;0
fantasy;1987;0
horror;1987;0
mystery;1987;0
sci-fi;1987;0
thriller;1987;0
action;1986;0
adventure;1986;0
comedy;1986;0
crime;1986;0
drama;1986;0
fantasy;1986;0
horror;1986;0
mystery;1986;0
sci-fi;1986;0
thriller;1986;0
action;1985;0
adventure;1985;0
comedy;1985;0
crime;1985;0
drama;1985;0
fantasy;1985;0
horror;1985;0
mystery;1985;0
sci-fi;1985;0
thriller;1985;0
