title;episode;year;nazione;genre
24; Day 2: 5:00 p.m.-6:00 p.m.;2003;usa;action
24; Day 2: 5:00 p.m.-6:00 p.m.;2003;usa;drama
24; Day 2: 5:00 p.m.-6:00 p.m.;2003;usa;mystery
24; Day 8: 4:00 a.m.-5:00 a.m.;2010;usa;action
24; Day 8: 4:00 a.m.-5:00 a.m.;2010;usa;drama
24; Day 8: 4:00 a.m.-5:00 a.m.;2010;usa;mystery
24; Day 7: 2:00 p.m.-3:00 p.m.;2009;usa;action
24; Day 7: 2:00 p.m.-3:00 p.m.;2009;usa;drama
24; Day 7: 2:00 p.m.-3:00 p.m.;2009;usa;mystery
24; Day 7: 1:00 p.m.-2:00 p.m.;2009;usa;action
24; Day 7: 1:00 p.m.-2:00 p.m.;2009;usa;drama
24; Day 7: 1:00 p.m.-2:00 p.m.;2009;usa;mystery
24; Day 8: 11:00 p.m.-12:00 a.m.;2010;usa;action
24; Day 8: 11:00 p.m.-12:00 a.m.;2010;usa;drama
24; Day 8: 11:00 p.m.-12:00 a.m.;2010;usa;mystery
24; Day 8: 3:00 p.m.-4:00 p.m.;2010;usa;action
24; Day 8: 3:00 p.m.-4:00 p.m.;2010;usa;drama
24; Day 8: 3:00 p.m.-4:00 p.m.;2010;usa;mystery
24; Day 2: 1:00 a.m.-2:00 a.m.;2003;usa;action
24; Day 2: 1:00 a.m.-2:00 a.m.;2003;usa;drama
24; Day 2: 1:00 a.m.-2:00 a.m.;2003;usa;mystery
24; Day 6: 8:00 a.m.-9:00 a.m.;2007;usa;action
24; Day 6: 8:00 a.m.-9:00 a.m.;2007;usa;drama
24; Day 6: 8:00 a.m.-9:00 a.m.;2007;usa;mystery
24; Day 7: 12:00 p.m.-1:00 p.m.;2009;usa;action
24; Day 7: 12:00 p.m.-1:00 p.m.;2009;usa;drama
24; Day 7: 12:00 p.m.-1:00 p.m.;2009;usa;mystery
24; Day 5: 8:00 p.m.-9:00 p.m.;2006;usa;action
24; Day 5: 8:00 p.m.-9:00 p.m.;2006;usa;drama
24; Day 5: 8:00 p.m.-9:00 p.m.;2006;usa;mystery
24; Day 7: 6:00 p.m.-7:00 p.m.;2009;usa;action
24; Day 7: 6:00 p.m.-7:00 p.m.;2009;usa;drama
24; Day 7: 6:00 p.m.-7:00 p.m.;2009;usa;mystery
24; Day 8: 12:00 p.m.-1:00 p.m.;2010;usa;action
24; Day 8: 12:00 p.m.-1:00 p.m.;2010;usa;drama
24; Day 8: 12:00 p.m.-1:00 p.m.;2010;usa;mystery
24; Day 7: 3:00 a.m.-4:00 a.m.;2009;usa;action
24; Day 7: 3:00 a.m.-4:00 a.m.;2009;usa;drama
24; Day 7: 3:00 a.m.-4:00 a.m.;2009;usa;mystery
24; Day 8: 3:00 a.m.-4:00 a.m.;2010;usa;action
24; Day 8: 3:00 a.m.-4:00 a.m.;2010;usa;drama
24; Day 8: 3:00 a.m.-4:00 a.m.;2010;usa;mystery
24; Day 8: 11:00 a.m.-12:00 p.m.;2010;usa;action
24; Day 8: 11:00 a.m.-12:00 p.m.;2010;usa;drama
24; Day 8: 11:00 a.m.-12:00 p.m.;2010;usa;mystery
24; Day 2: 8:00 a.m.-9:00 a.m.;2002;usa;action
24; Day 2: 8:00 a.m.-9:00 a.m.;2002;usa;drama
24; Day 2: 8:00 a.m.-9:00 a.m.;2002;usa;mystery
24; Day 2: 10:00 a.m.-11:00 a.m.;2002;usa;action
24; Day 2: 10:00 a.m.-11:00 a.m.;2002;usa;drama
24; Day 2: 10:00 a.m.-11:00 a.m.;2002;usa;mystery
24; Day 7: 9:00 a.m.-10:00 a.m.;2009;usa;action
24; Day 7: 9:00 a.m.-10:00 a.m.;2009;usa;drama
24; Day 7: 9:00 a.m.-10:00 a.m.;2009;usa;mystery
24; Day 8: 7:00 a.m.-8:00 a.m.;2010;usa;action
24; Day 8: 7:00 a.m.-8:00 a.m.;2010;usa;drama
24; Day 8: 7:00 a.m.-8:00 a.m.;2010;usa;mystery
24; Day 2: 9:00 a.m.-10:00 a.m.;2002;usa;action
24; Day 2: 9:00 a.m.-10:00 a.m.;2002;usa;drama
24; Day 2: 9:00 a.m.-10:00 a.m.;2002;usa;mystery
24; Day 2: 2:00 p.m.-3:00 p.m.;2002;usa;action
24; Day 2: 2:00 p.m.-3:00 p.m.;2002;usa;drama
24; Day 2: 2:00 p.m.-3:00 p.m.;2002;usa;mystery
24; Day 2: 1:00 p.m.-2:00 p.m.;2002;usa;action
24; Day 2: 1:00 p.m.-2:00 p.m.;2002;usa;drama
24; Day 2: 1:00 p.m.-2:00 p.m.;2002;usa;mystery
24; Day 2: 9:00 p.m.-10:00 p.m.;2003;usa;action
24; Day 2: 9:00 p.m.-10:00 p.m.;2003;usa;drama
24; Day 2: 9:00 p.m.-10:00 p.m.;2003;usa;mystery
24; Day 2: 4:00 a.m.-5:00 a.m.;2003;usa;action
24; Day 2: 4:00 a.m.-5:00 a.m.;2003;usa;drama
24; Day 2: 4:00 a.m.-5:00 a.m.;2003;usa;mystery
24; Day 5: 8:00 a.m.-9:00 a.m.;2006;usa;action
24; Day 5: 8:00 a.m.-9:00 a.m.;2006;usa;drama
24; Day 5: 8:00 a.m.-9:00 a.m.;2006;usa;mystery
24; Day 5: 4:00 p.m.-5:00 p.m.;2006;usa;action
