LINK,ANNO,AMBIENTE (BLOG/NEWS/SITI DI PRIVATI/ENTI PUBBLICI/ACADEMIC/SOCIAL/WIKI)
https://en.wikipedia.org/wiki/Google_Spain_v_AEPD_and_Mario_Costeja_Gonz%C3%A1lez,2014,WIKI
https://en.wikipedia.org/wiki/Right_to_be_forgotten,2014,WIKI
http://www.ilpost.it/2014/05/13/sentenza-corte-europea-diritto-oblio-google/,2014,NEWS
http://www.rainews.it/dl/rainews/articoli/Arriva-il-modulo-di-Google-per-la-cancellazione-dei-dati-personali-63d75dd6-31be-4365-9b1e-664e39e6c7c9.html,2014,NEWS
http://www.theguardian.com/world/blog/2014/may/14/mario-costeja-gonzalez-fight-right-forgotten,2014,NEWS
http://www.theguardian.com/technology/2014/may/13/spain-everyman-google-mario-costeja-gonzalez,2014,NEWS
http://archivio.internazionale.it/tag/mario-costeja-gonzalez,2014,NEWS
http://www.newsweek.com/man-who-sued-google-be-forgotten-252854,2014,NEWS
http://derechoaleer.org/en/blog/2014/05/the-unforgettable-story-of-the-seizure-to-the-defaulter-mario-costeja-gonzalez-that-happened-in-1998.html,2014,NEWS
http://www.bbc.com/news/technology-27394751,2014,NEWS
http://curia.europa.eu/juris/document/document_print.jsf?doclang=EN&docid=152065,2014,ENTI PUBBLICI
http://eur-lex.europa.eu/legal-content/IT/TXT/?uri=CELEX:62012CJ0131,2014,ENTI PUBBLICI
http://curia.europa.eu/jcms/upload/docs/application/pdf/2014-05/cp140070it.pdf,2014,ENTI PUBBLICI
http://curia.europa.eu/juris/liste.jsf?num=C-131/12,2014,ENTI PUBBLICI
http://www.theatlantic.com/international/archive/2014/05/europes-troubling-new-right-to-be-forgotten/370796/,2014,NEWS
http://europeanlawblog.eu/?tag=c-13112-google-spain-v-aepd-and-mario-costeja-gonzalez,2014,BLOG LAWYER
http://eutopialaw.com/2014/05/16/case-comment-google-spain-sl-google-inc-v-agencia-espanola-de-proteccion-de-datos-mario-costeja-gonzalez/,2014,BLOG LAWYER
http://www.lejdd.fr/Medias/Internet/Mario-Costeja-Gonzalez-l-homme-qui-a-fait-plier-Google-674891%20,2014,NEWS
http://www.webnews.it/2014/05/13/corte-europea-google-diritto-alloblio/,2014,NEWS
http://www.bbc.com/news/technology-27394751,2014,NEWS
https://www.tumblr.com/search/Mario+Costeja+Gonz%C3%A1lez,2014,SOCIAL
http://www.blogstudiolegalefinocchiaro.it/tag/mario-costeja-gonzalez/,2014,BLOG LAWYER
https://andreasmoser.wordpress.com/2014/05/21/mario-costeja-gonzalez/,2014,BLOG INTERNET
http://hemeroteca.lavanguardia.com/preview/1998/01/19/pagina-23/33842001/pdf.html,2011,NEWS VANGUARDIA
http://www.wptv.com/news/science-tech/mario-costeja-gonzalez-google-complaint-sparks-eu-court-of-justice-right-to-be-forgotten-ruling,2014,NEWS
http://www.jonathanbishop.com/8613/unplugged-and-uncut/review-of-the-ecj-right-to-be-forgotten-ruling/,2014,BLOG LAWYER
