name,parent,IMG,NOME
0, ,,Defenders
1,0,<img src='alberoBlu/img/2.png' height='210' width='300'>,MPAA
2,0,,US Government
3,0,<img src='alberoBlu/img/4.png' height='210' width='300'>,BASCAP
5,0,<img src='alberoBlu/img/5.png' height='210' width='300'>,Digitalcontentguide.com
6,0,<img src='alberoBlu/img/6.png' height='210' width='300'>,Sound-Ideas
7,0,<img src='alberoBlu/img/7.png' height='210' width='300'>,Creative Future
8,0,<img src='alberoBlu/img/8.png' height='210' width='300'>,Music Rights Au
9,0,<img src='alberoBlu/img/9.png' height='210' width='300'>,IFPI
10,1,<img src='alberoBlu/img/12.png' height='210' width='300'>,Walt Disney
11,1,<img src='alberoBlu/img/4.png' height='210' width='300'>,Columbia Pictures
53,1,<img src='alberoBlu/img/15.png' height='210' width='300'>,Sony Pictures
12,1,<img src='alberoBlu/img/14.png' height='210' width='300'>,Paramount
13,1,<img src='alberoBlu/img/13.png' height='210' width='300'>,20th Century Fox
14,1,<img src='alberoBlu/img/16.png' height='210' width='300'>,Universal Studio
15,1,<img src='alberoBlu/img/17.png' height='210' width='300'>,Warner Bros
16,2,<img src='alberoBlu/img/11.png' height='210' width='300'>,FBI
17,2,<img src='alberoBlu/img/10.png' height='210' width='300'>,Lamar Smith
18,2,,Constitutional Court
19,9,<img src='alberoBlu/img/3.png' height='210' width='300'>,CRIAA
20,9,<img src='alberoBlu/img/1.png' height='210' width='300'>,RIAA
21,20,<img src='alberoBlu/img/18.png' height='210' width='300'>,Sony Music
22,20,<img src='alberoBlu/img/19.png' height='210' width='300'>,UMG
23,20,<img src='alberoBlu/img/20.png' height='210' width='300'>,WMG
24,21,,Blake Morgan
25,21,,Christina Aguilera
26,21,,Filter
27,21,,Garth Brooks
28,21,,Vertical Horizon
29,22,,Alanis Morisette
30,22,,Beck
31,22,,Blink 182
32,22,,Bon Jovi
33,22,,Bryan Adams
34,22,,DMX
35,22,,Elton John
36,22,,Herbie Hancock
37,22,,Pink Floyd
38,22,,Sarah McLachlan
39,22,,Sisqo
40,22,,The Black Keys
41,22,,will.i.am
42,22,,Eminem
43,22,,Gary Barlow
44,22,,Metallica
45,23,,Amanda Palmer
46,23,,Barenaked Ladies
47,23,,David Byrne
48,23,,David Lowery
49,23,,Faith Hill
50,23,,Nick Mason
51,23,,Lily Allen
52,23,,James Blunt
