name,parent,IMG,NOME
0, ,,Outlaws
1,0,<img src='alberoRosso/img/P1.png' height='210' width='300'>,Megaupload
2,0,<img src='alberoRosso/img/P2.png' height='210' width='300'>,The Pirate Bay
3,0,<img src='alberoRosso/img/P3.png' height='210' width='300'>,Grokster
5,0,<img src='alberoRosso/img/P4.png' height='210' width='300'>,Napster
6,0,<img src='alberoRosso/img/P5.png' height='210' width='300'>,BtJunkie
7,0,<img src='alberoRosso/img/P6.png' height='210' width='300'>,Kazaa
8,0,<img src='alberoRosso/img/P7.png' height='210' width='300'>,Morpheus
9,0,<img src='alberoRosso/img/P8.png' height='210' width='300'>,Limewire
10,24,<img src='alberoRosso/img/P9.png' height='210' width='300'>,Mininova
11,0,<img src='alberoRosso/img/P10.png' height='210' width='300'>,ShareReactor
12,0,<img src='alberoRosso/img/P11.png' height='210' width='300'>,isoHunt
13,1,<img src='alberoRosso/img/P12.png' height='210' width='300'>,Mega
14,0,<img src='alberoRosso/img/P13.png' height='210' width='300'>,HotFile
15,16,<img src='alberoRosso/img/P14.png' height='210' width='300'>,Time4PopCorn
16,0,<img src='alberoRosso/img/P15.png' height='210' width='300'>,PopCorn Time
17,0,<img src='alberoRosso/img/P16.png' height='210' width='300'>,Shareaza
18,0,<img src='alberoRosso/img/P17.png' height='210' width='300'>,Rapidshare
19,0,<img src='alberoRosso/img/P18.png' height='210' width='300'>,E-Mule
20,0,<img src='alberoRosso/img/P19.png' height='210' width='300'>,TorrentSpy
21,0,<img src='alberoRosso/img/P20.png' height='210' width='300'>,WinMX
22,0,<img src='alberoRosso/img/P21.png' height='210' width='300'>,Demonoid
23,0,<img src='alberoRosso/img/P22.png' height='210' width='300'>,SoulSeek
24,0,<img src='alberoRosso/img/P23.png' height='210' width='300'>,Suprnova
